Hallo.	Hello.	[sound:Firetongues-DE-EN-0001.mp3]	
München ist sehr schön.	Munich is very nice.	[sound:Firetongues-DE-EN-0061.mp3]	
Jeder hier ist nett.	Everyone here is nice.	[sound:Firetongues-DE-EN-0062.mp3]	
Bist du auch neu hier?	Are you also new here?	[sound:Firetongues-DE-EN-0063.mp3]	
Oh, du bist von hier?	Oh, you're from here?	[sound:Firetongues-DE-EN-0064.mp3]	
Du trinkst bestimmt jeden Tag Bier.	You probably drink beer every day.	[sound:Firetongues-DE-EN-0065.mp3]	
Richtig.	Correct.	[sound:Firetongues-DE-EN-0066.mp3]	
Ich trinke Bier wie Wasser.	I drink beer like water.	[sound:Firetongues-DE-EN-0067.mp3]	
Wirklich?	Really? / Virkelig?	[sound:Firetongues-DE-EN-0068.mp3]	
Spaß, so schlimm bin ich nicht.	Just kidding, I'm not that bad.	[sound:Firetongues-DE-EN-0069.mp3]	
Aber ich liebe Bier.	But I love beer.	[sound:Firetongues-DE-EN-0070.mp3]	
Möchtest du zusammen ein Bier trinken gehen?	Would you like to have a beer together?	[sound:Firetongues-DE-EN-0071.mp3]	
Ich kenne dich noch nicht gut.	I don't know you well yet.	[sound:Firetongues-DE-EN-0072.mp3]	
Es ist zu früh für ein Date.	It is too early for a date.	[sound:Firetongues-DE-EN-0073.mp3]	
Nein, danke.	No thanks.	[sound:Firetongues-DE-EN-0074.mp3]	
Kein Problem.	No problem.	[sound:Firetongues-DE-EN-0075.mp3]	
Bis dann!	See you!	[sound:Firetongues-DE-EN-0076.mp3]	
Keine Ahnung.	No idea.	[sound:Firetongues-DE-EN-0077.mp3]	
es gibt	there are	[sound:Firetongues-DE-EN-0078.mp3]	
Montag, Dienstag, Mittwoch	Monday, Tuesday, Wednesday	[sound:Firetongues-DE-EN-0079.mp3]	
Donnerstag, Freitag, Samstag, Sonntag	Thursday, Friday, Saturday, Sunday	[sound:Firetongues-DE-EN-0080.mp3]	
am Dienstag	on Tuesday	[sound:Firetongues-DE-EN-0081.mp3]	
Das Wetter ist heute schön.	The weather is nice today.	[sound:Firetongues-DE-EN-0082.mp3]	
Es ist sehr warm.	It is very warm.	[sound:Firetongues-DE-EN-0083.mp3]	
Hast du Lust auf ein Eis?	Do you feel like having an ice cream?	[sound:Firetongues-DE-EN-0084.mp3]	
Wie ist das Wetter morgen?	What's the weather tomorrow?/<div>How is the weather tomorrow?</div>	[sound:Firetongues-DE-EN-0085.mp3]	
Es ist zu kalt für ein Eis.	It's too cold for an ice cream.	[sound:Firetongues-DE-EN-0086.mp3]	
Außerdem regnet es wahrscheinlich.	It will probably rain, too./<div>Also, it is probably raining.</div>	[sound:Firetongues-DE-EN-0087.mp3]	
Tut mir leid.	I'm sorry.	[sound:Firetongues-DE-EN-0088.mp3]	
Heute habe ich keine Zeit.	Today I don't have time.	[sound:Firetongues-DE-EN-0089.mp3]	
Ich gehe heute Nachmittag ins Sprachcafé.	I'm going to the language café this afternoon.	[sound:Firetongues-DE-EN-0093.mp3]	
Gleich beginnt es.	It starts in a moment./<div>It is about to begin.</div>	[sound:Firetongues-DE-EN-0094.mp3]	
Anna kommt aus Berlin.	Anna is from Berlin.	[sound:Firetongues-DE-EN-0095.mp3]	
Jetzt wohnt sie in München, weil sie dort Biologie studiert.	Now she lives in Munich because she studies biology there./<div>Now she lives in Munich while she studies biology there.</div>	[sound:Firetongues-DE-EN-0096.mp3]	
München gefällt ihr sehr gut.	She likes Munich very much.	[sound:Firetongues-DE-EN-0097.mp3]	
Sie geht gerne ins Sprachcafé.	She likes going to the language café.	[sound:Firetongues-DE-EN-0098.mp3]	
Dort spricht sie Deutsch, Englisch oder Spanisch.	There, she speaks German, English or Spanish.	[sound:Firetongues-DE-EN-0099.mp3]	
Max kommt aus München.	Max is from Munich./<div>Max comes from Munich.</div>	[sound:Firetongues-DE-EN-0100.mp3]	
Er liebt Bier.	He loves beer.	[sound:Firetongues-DE-EN-0101.mp3]	
Max möchte gerne eine Freundin haben.	Max would like to have a girlfriend.	[sound:Firetongues-DE-EN-0102.mp3]	
Anna ist sehr hübsch.	Anna is very pretty.	[sound:Firetongues-DE-EN-0103.mp3]	
Sie sagt nein.	She says no.	[sound:Firetongues-DE-EN-0106.mp3]	
Was machst du gerne in deiner Freizeit?	What do you like to do in your free time?	[sound:Firetongues-DE-EN-0107.mp3]	
Ich höre gern Musik.	I like to listen to music.	[sound:Firetongues-DE-EN-0108.mp3]	
Wer ist dein Lieblingssänger? Wer ist dein Lieblingsschauspieler?	Who is your favorite singer? Who is your favorite actor?	[sound:Firetongues-DE-EN-0109.mp3]	
Ich weiß nicht genau.	I'm not sure. (I don't know for sure.)/<br>I don't know exactly.	[sound:Firetongues-DE-EN-0110.mp3]	
Mein Lieblingsfilm ist Star Wars.	My favorite movie is Star Wars.	[sound:Firetongues-DE-EN-0111.mp3]	
Was ist dein Lieblingsbuch?	What's your favorite book?	[sound:Firetongues-DE-EN-0112.mp3]	
Ich lese nur selten.	I rarely read.	[sound:Firetongues-DE-EN-0113.mp3]	
Was ist dein Lieblingsessen?	What's your favorite food?	[sound:Firetongues-DE-EN-0114.mp3]	
Mein Lieblingstier ist die Kuh.	My favorite animal is the cow.	[sound:Firetongues-DE-EN-0115.mp3]	
Und selbst?	What about you? (lit. And yourself?)	[sound:Firetongues-DE-EN-0116.mp3]	
Ich habe eine Frage.	I have a question.	[sound:Firetongues-DE-EN-0117.mp3]	
Du musst.	You must.	[sound:Firetongues-DE-EN-0119.mp3]	
Das ist sehr schwer für mich.	This is very hard for me.	[sound:Firetongues-DE-EN-0122.mp3]	
Woher weißt du das?	How do you know that?	[sound:Firetongues-DE-EN-0124.mp3]	
Das hoffe ich.	I hope so.	[sound:Firetongues-DE-EN-0129.mp3]	
Ich bin mir sicher.	I am sure.	[sound:Firetongues-DE-EN-0130.mp3]	
Mit der Zeit kommt das automatisch.	Over time, it'll come automatically./<br>With time it comes automatically.	[sound:Firetongues-DE-EN-0132.mp3]	
Der Ball ist klein.	The ball is small.	[sound:Firetongues-DE-EN-0133.mp3]	
Der Mann hat Geld.	The man has money.	[sound:Firetongues-DE-EN-0134.mp3]	
Die Stadt ist schön.	The city is beautiful.	[sound:Firetongues-DE-EN-0135.mp3]	
Die Schule ist weit weg.	The school is far away.	[sound:Firetongues-DE-EN-0136.mp3]	
Das Kind lernt Englisch.	The child learns English.	[sound:Firetongues-DE-EN-0137.mp3]	
Das Bier ist schlecht.	The beer is bad.	[sound:Firetongues-DE-EN-0138.mp3]	
Ein Ball ist meistens klein.	A ball is usually small.	[sound:Firetongues-DE-EN-0139.mp3]	
Max ist ein Mann.	Max is a man.	[sound:Firetongues-DE-EN-0140.mp3]	
Anna ist eine Frau.	Anna is a woman.	[sound:Firetongues-DE-EN-0141.mp3]	
München ist eine Stadt.	Munich is a city.	[sound:Firetongues-DE-EN-0142.mp3]	
Annas Bruder ist noch ein Kind.	Anna's brother is still a child.	[sound:Firetongues-DE-EN-0143.mp3]	
Ich trinke ein Bier.	I drink a beer.	[sound:Firetongues-DE-EN-0144.mp3]	
Gehst du oft ins Sprachcafé?	Do you often go to the language café?	[sound:Firetongues-DE-EN-0145.mp3]	
Ich gehe jede Woche dorthin.	I go there every week.	[sound:Firetongues-DE-EN-0146.mp3]	
Wie viele Leute gehen ins Sprachcafé?	How many people go to the language café?	[sound:Firetongues-DE-EN-0147.mp3]	
Das ist unterschiedlich.	"It depends (lit. ""that's different"")."	[sound:Firetongues-DE-EN-0148.mp3]	
Manchmal sind dort zehn Leute, manchmal zwanzig.	Sometimes there are ten people, sometimes twenty.	[sound:Firetongues-DE-EN-0149.mp3]	
Und das sind (sind das?) vor allem Ausländer oder Deutsche?	And these are mainly foreigners or German?	[sound:Firetongues-DE-EN-0150.mp3]	
Die Deutschen üben Englisch oder andere Fremdsprachen.	The Germans practice English or other foreign languages.	[sound:Firetongues-DE-EN-0152.mp3]	
Die Ausländer üben Deutsch.	The foreigners practice German.	[sound:Firetongues-DE-EN-0153.mp3]	
Welche Sprachen übst du dort?	Which languages do you practice there?	[sound:Firetongues-DE-EN-0154.mp3]	
Sprechen die Ausländer gut Deutsch?	Do the foreigners speak German well?	[sound:Firetongues-DE-EN-0158.mp3]	
Alle haben eine gute Motivation, Deutsch zu lernen.	Everyone has a good motivation to learn German.	[sound:Firetongues-DE-EN-0159.mp3]	
Sarah möchte in Deutschland studieren.	Sarah wants to study in Germany.	[sound:Firetongues-DE-EN-0160.mp3]	
Georg möchte hier arbeiten.	George wants to work here.	[sound:Firetongues-DE-EN-0161.mp3]	
Sie wollen unbedingt Deutsch lernen.	They absolutely want to learn German.	[sound:Firetongues-DE-EN-0162.mp3]	
Weil sie viel Deutsch üben, sprechen sie gut.	Since they practice German a lot, they speak well.	[sound:Firetongues-DE-EN-0163.mp3]	
Woher kommen Sarah und Georg?	Where are Sarah and Georg from?	[sound:Firetongues-DE-EN-0164.mp3]	
Alles klar.	All right.	[sound:Firetongues-DE-EN-0165.mp3]	
Das klingt interessant.	That sounds interesting.	[sound:Firetongues-DE-EN-0166.mp3]	
Kann ich nächstes Mal mitkommen?	Can I come with next time?	[sound:Firetongues-DE-EN-0167.mp3]	
Ja, warum nicht.	Yes, why not.	[sound:Firetongues-DE-EN-0168.mp3]	
Morgen ist das nächste Mal.	Tomorrow's the next time.	[sound:Firetongues-DE-EN-0169.mp3]	
Der Student lernt.	The student learns.	[sound:Firetongues-DE-EN-0170.mp3]	
Die Studenten lernen.	The students learn.	[sound:Firetongues-DE-EN-0171.mp3]	
Die Unis sind gut.	The universities are good.	[sound:Firetongues-DE-EN-0172.mp3]	
Die Schule ist groß.	The school is big.	[sound:Firetongues-DE-EN-0173.mp3]	
Schulen sind groß.	Schools are big.	[sound:Firetongues-DE-EN-0174.mp3]	
Die Biere sind schlecht.	The beers are bad.	[sound:Firetongues-DE-EN-0175.mp3]	
Das Kind spielt Ball.	The child plays ball.	[sound:Firetongues-DE-EN-0176.mp3]	
Kinder müssen viel spielen, um zu lernen.	Children need to play a lot to learn.	[sound:Firetongues-DE-EN-0177.mp3]	
Ein Mann muss stark sein.	A man must be strong.	[sound:Firetongues-DE-EN-0178.mp3]	
Männer müssen stark sein.	Men must be strong.	[sound:Firetongues-DE-EN-0179.mp3]	
Gehen wir heute ins Sprachcafé?	Are we going to the language café today?	[sound:Firetongues-DE-EN-0180.mp3]	
Ja, es ist heute Nachmittag um fünf.	Yes, it's this afternoon at five.	[sound:Firetongues-DE-EN-0181.mp3]	
Wie kommen wir dorthin?	How do we get there?	[sound:Firetongues-DE-EN-0182.mp3]	
Wir können laufen.	We can walk.	[sound:Firetongues-DE-EN-0183.mp3]	
Es sind zu Fuß nur fünfzehn Minuten.	It's only fifteen minutes by foot.	[sound:Firetongues-DE-EN-0184.mp3]	
Ich bin schon gespannt.	I'm curious already.	[sound:Firetongues-DE-EN-0185.mp3]	
Ist es wichtig pünktlich zu sein?	Is it important to be punctual?	[sound:Firetongues-DE-EN-0186.mp3]	
Um fünf sind erst wenige Leute dort.	At five there are only a few people there.	[sound:Firetongues-DE-EN-0187.mp3]	
Es reicht, wenn wir um fünf losgehen.	It will be enough if we leave at five.	[sound:Firetongues-DE-EN-0188.mp3]	
Treffen wir uns vor der Bibliothek?	Do we meet in front of the library?	[sound:Firetongues-DE-EN-0189.mp3]	
Seid ihr zusammen?	"Are you a couple? (lit. ""together"")"	[sound:Firetongues-DE-EN-0192.mp3]	
Wir sind nur Freunde.	We are just friends.	[sound:Firetongues-DE-EN-0193.mp3]	
Ach so.	I see.	[sound:Firetongues-DE-EN-0194.mp3]	
Kennt ihr euch schon lange?	Have you known each other for a long time?	[sound:Firetongues-DE-EN-0195.mp3]	
Woher kennt ihr euch?	How do you know each other?	[sound:Firetongues-DE-EN-0196.mp3]	
Wir kennen uns von der Uni.	We know each other from university.	[sound:Firetongues-DE-EN-0197.mp3]	
Wir sind Kommilitonen.	We are fellow students.	[sound:Firetongues-DE-EN-0198.mp3]	
Was heißt das?	What does that mean?	[sound:Firetongues-DE-EN-0199.mp3]	
Wenn Leute zusammen studieren, sind sie Kommilitonen.	When people study together, they are fellow students.	[sound:Firetongues-DE-EN-0200.mp3]	
Wir studieren beide Biologie.	We both study biology.	[sound:Firetongues-DE-EN-0201.mp3]	
Habt ihr viele Kurse zusammen?	Do you have many courses together?	[sound:Firetongues-DE-EN-0202.mp3]	
Wir sind beide im ersten Semester.	We are both in our first semester.	[sound:Firetongues-DE-EN-0203.mp3]	
Wie findet ihr euer Studium?	How do you (pl.) like your studies?/<br>How do you (pl.) find your studies?	[sound:Firetongues-DE-EN-0204.mp3]	
Bis jetzt sehr gut.	Very well so far.	[sound:Firetongues-DE-EN-0205.mp3]	
Wir haben tolle Professoren.	We have great professors.	[sound:Firetongues-DE-EN-0206.mp3]	
Ihr seid gute Studenten.	You are good students.	[sound:Firetongues-DE-EN-0207.mp3]	
Wir sind vor allem gute Biertrinker.	Above all, we are good beer drinkers./<br>We are especially good beer drinkers.	[sound:Firetongues-DE-EN-0208.mp3]	
Na ja, ich zumindest.	Well, at least I am.	[sound:Firetongues-DE-EN-0209.mp3]	
Guten Tag.	Hello. (polite)/<br>Good afternoon.	[sound:Firetongues-DE-EN-0210.mp3]	
Mein Name ist Georg López.	My name is George Lopez.	[sound:Firetongues-DE-EN-0211.mp3]	
Wie heißen Sie?	What's your name? / What are your called? (fr.)	[sound:Firetongues-DE-EN-0212.mp3]	
Es freut mich Sie kennenzulernen, Herr Müller.	Nice to meet you, Mr. Müller.	[sound:Firetongues-DE-EN-0213.mp3]	
Sind Sie der neue Praktikant?	Are you the new intern?	[sound:Firetongues-DE-EN-0214.mp3]	
Ich mache für drei Monate ein Praktikum bei Ihnen.	"I'm doing an internship at your company (lit. ""at you"") for three months./<br>I'm doing an internship with you for three months."	[sound:Firetongues-DE-EN-0215.mp3]	
Herzlich willkommen.	A warm welcome.	[sound:Firetongues-DE-EN-0216.mp3]	
Danke schön.	Thank you very much.	[sound:Firetongues-DE-EN-0217.mp3]	
Woher kommen Sie?	Where are you from? (fr.)	[sound:Firetongues-DE-EN-0218.mp3]	
Sie kommen aus Spanien, oder?	You're from Spain, right?/<br>You come from Spain, or? (fr.)	[sound:Firetongues-DE-EN-0219.mp3]	
Ich lebe seit sechs Monaten in Deutschland.	I've been living in Germany for six months.	[sound:Firetongues-DE-EN-0220.mp3]	
Entschuldigen Sie.	Excuse me. (fr.)	[sound:Firetongues-DE-EN-0221.mp3]	
Der Chef möchte, dass Sie in sein Büro kommen.	The boss wants you (fr.) to come to his office.	[sound:Firetongues-DE-EN-0222.mp3]	
Wie geht es Ihnen?	How are you? (fr.)	[sound:Firetongues-DE-EN-0226.mp3]	
Sehr gut, und Ihnen?	Very good, and you? (fr.)	[sound:Firetongues-DE-EN-0227.mp3]	
Wissen Sie, wo der Chef ist?	Do you (fr.) know where the boss is?	[sound:Firetongues-DE-EN-0230.mp3]	
Er hat gerade einen Termin.	He has an appointment right now.	[sound:Firetongues-DE-EN-0231.mp3]	
Er kommt in circa einer Stunde wieder.	He'll be here again in about an hour./<br>He's coming in about an hour.	[sound:Firetongues-DE-EN-0232.mp3]	
Sagen Sie ihm bitte, dass ich ihn suche.	Please tell him that I'm looking for him.	[sound:Firetongues-DE-EN-0233.mp3]	
natürlich	of course/<br>naturally	[sound:Firetongues-DE-EN-0235.mp3]	
In Ordnung.	All right.	[sound:Firetongues-DE-EN-0236.mp3]	
Was ist los?	What’s going on (surprised)?	[sound:Firetongues-DE-EN-0237.mp3]	
Das wird schon.	It will be alright.	[sound:Firetongues-DE-EN-0238.mp3]	
Ist mir egal.	I don't care.	[sound:Firetongues-DE-EN-0240.mp3]	
Wie sieht's aus?	How are things?	[sound:Firetongues-DE-EN-0241.mp3]	
Wie sieht es morgen aus?	How about tomorrow?/<br>(How does tomorrow look?)	[sound:Firetongues-DE-EN-0242.mp3]	
Das dauert ewig.	That takes forever.	[sound:Firetongues-DE-EN-0243.mp3]	
Wie hat dir gestern das Sprachcafé gefallen?	How did you like the language café yesterday?	[sound:Firetongues-DE-EN-0244.mp3]	
Wie hat es dir gefallen?	How did you like it?	[sound:Firetongues-DE-EN-0245.mp3]	
Ich habe viele nette Leute kennengelernt.	I have met many nice people	[sound:Firetongues-DE-EN-0246.mp3]	
Ich habe ein bisschen Englisch geübt.	I have practiced a bit of English.	[sound:Firetongues-DE-EN-0247.mp3]	
Das habe ich gemerkt.	I noticed./<br>I have noticed that.	[sound:Firetongues-DE-EN-0249.mp3]	
Wir haben ihr gesagt, dass das nicht stimmt.	We have told her that that's not true.	[sound:Firetongues-DE-EN-0250.mp3]	
Das heißt, du möchtest nächstes Mal auch mitkommen?	That means you want to come next time too?	[sound:Firetongues-DE-EN-0252.mp3]	
Ja, gerne.	Yes, I’d like to.	[sound:Firetongues-DE-EN-0253.mp3]	
Wir haben viel Spaß gehabt und viel gelacht, oder?	We had lots of fun and laughed a lot, right?	[sound:Firetongues-DE-EN-0254.mp3]	
Ich glaube, du hast mehr gelacht als ich.	I think you laughed more than I did.	[sound:Firetongues-DE-EN-0255.mp3]	
Ich finde es toll, dass alle Ausländer versucht haben, Deutsch zu sprechen.	I think it's great that all foreigners have tried to speak German./<br>I find it great that all foreigners have tried to speak German.	[sound:Firetongues-DE-EN-0258.mp3]	
Obwohl manche noch Anfänger sind.	Although some are still beginners.	[sound:Firetongues-DE-EN-0259.mp3]	
Sie haben wirklich gut Deutsch gesprochen.	They spoke German really well./<br>They have spoken really good German.	[sound:Firetongues-DE-EN-0260.mp3]	
Es ist sehr wichtig, dass man viel spricht, wenn man eine Sprache lernt.	It’s very important that one speaks a lot when one learns a language	[sound:Firetongues-DE-EN-0261.mp3]	
Ich sollte auch mehr Spanisch sprechen.	I should speak more Spanish.	[sound:Firetongues-DE-EN-0262.mp3]	
Gestern habe ich nur Deutsch und Englisch gesprochen.	Yesterday I spoke only German and English.	[sound:Firetongues-DE-EN-0263.mp3]	
Ich weiß, was du meinst.	I know what you mean.	[sound:Firetongues-DE-EN-0264.mp3]	
Ich habe auch kein Französisch gesprochen.	I have also spoken no French.	[sound:Firetongues-DE-EN-0265.mp3]	
Ich habe schon alles vergessen, was ich in der Schule gelernt habe.	I've forgotten everything I've learned at school./<br>I have already forgotten everything that I have learned in school.	[sound:Firetongues-DE-EN-0266.mp3]	
Dein Französisch ist bestimmt nicht so schlecht.	Your French is certainly not so bad.	[sound:Firetongues-DE-EN-0267.mp3]	
Wie lange hast du Französisch gelernt?	How long have you learned French?	[sound:Firetongues-DE-EN-0268.mp3]	
Unsere Lehrerin hat keinen guten Unterricht gemacht.	Our teacher (fem.) didn't do good classes.	[sound:Firetongues-DE-EN-0270.mp3]	
Du versuchst Französisch zu sprechen.	You try to speak French.	[sound:Firetongues-DE-EN-0271.mp3]	
Ich versuche Spanisch zu sprechen.	I try to speak Spanish.	[sound:Firetongues-DE-EN-0272.mp3]	
Das machen wir.	Let's do that.	[sound:Firetongues-DE-EN-0273.mp3]	
Sie haben getrunken.	They drank.	[sound:Firetongues-DE-EN-0274.mp3]	
Wir haben gesprochen.	We have spoken.	[sound:Firetongues-DE-EN-0275.mp3]	
Was haben Sie am Wochenende gemacht?	What did you do on the weekend? (fr.)	[sound:Firetongues-DE-EN-0276.mp3]	
Ich bin nach Heidelberg gefahren.	I went to Heidelberg.	[sound:Firetongues-DE-EN-0277.mp3]	
Ich habe dort einen Freund besucht.	I visited a friend there.	[sound:Firetongues-DE-EN-0278.mp3]	
Wie lange sind Sie dort gewesen?	How long have you been there? (fr., sg.)	[sound:Firetongues-DE-EN-0279.mp3]	
Ich bin zwei Tage dort gewesen.	I've been there for two days.	[sound:Firetongues-DE-EN-0280.mp3]	
Am Samstagmorgen bin ich ankommen.	On Saturday morning I arrived.	[sound:Firetongues-DE-EN-0281.mp3]	
Am Sonntagabend bin ich wieder heimgefahren.	On Sunday evening I drove home again.	[sound:Firetongues-DE-EN-0282.mp3]	
Sind Sie mit dem Auto gefahren?	Did you go by car? (fr., sg.)	[sound:Firetongues-DE-EN-0283.mp3]	
Ich bin mit dem Zug gefahren.	I went by train.	[sound:Firetongues-DE-EN-0284.mp3]	
Man braucht circa vier Stunden.	It takes about four hours./<br>One spends about four hours.	[sound:Firetongues-DE-EN-0285.mp3]	
Wie hat Ihnen Heidelberg gefallen?	How did you like Heidelberg? (fr., sg.)	[sound:Firetongues-DE-EN-0286.mp3]	
Heidelberg ist eine sehr schöne Stadt.	Heidelberg is a very beautiful city.	[sound:Firetongues-DE-EN-0287.mp3]	
Wir sind zusammen durch die Altstadt gelaufen.	We walked through the old town together.	[sound:Firetongues-DE-EN-0288.mp3]	
Haben Sie auch das Schloss gesehen?	Have you also seen the castle? (fr., sg.)	[sound:Firetongues-DE-EN-0290.mp3]	
Wir sind als erstes zum Schloss gegangen.	We went to the castle first.	[sound:Firetongues-DE-EN-0291.mp3]	
Das habe ich ganz vergessen.	I had completely forgotten that.	[sound:Firetongues-DE-EN-0292.mp3]	
Es war ein schönes Wochenende.	It was a nice weekend.	[sound:Firetongues-DE-EN-0295.mp3]	
Es war anstrengend.	It was exhausting.	[sound:Firetongues-DE-EN-0296.mp3]	
Ich bin heute Morgen um sechs Uhr aufgestanden.	I got up at six o'clock this morning.	[sound:Firetongues-DE-EN-0297.mp3]	
Der dicke Mann geht einkaufen.	The fat man goes shopping.	[sound:Firetongues-DE-EN-0299.mp3]	
Herr Müller ist ein dicker Mann.	Mr. Müller is a fat man.	[sound:Firetongues-DE-EN-0300.mp3]	
Anna ist eine junge Frau.	Anna is a young woman.	[sound:Firetongues-DE-EN-0301.mp3]	
Die junge Frau liest ein Buch.	The young woman is reading a book.	[sound:Firetongues-DE-EN-0302.mp3]	
Das ist ein altes Haus.	This is an old house.	[sound:Firetongues-DE-EN-0303.mp3]	
Das alte Haus hat viel Charme.	The old house has a lot of charm.	[sound:Firetongues-DE-EN-0304.mp3]	
Schwache Menschen haben keinen Erfolg.	Weak people do not have success.	[sound:Firetongues-DE-EN-0305.mp3]	
Die freundlichen Leute lachen.	The friendly people laugh.	[sound:Firetongues-DE-EN-0306.mp3]	
Wie war dein Tag?	How was your day?	[sound:Firetongues-DE-EN-0307.mp3]	
Wir hatten frei.	"We had a day off. (""We had free."")"	[sound:Firetongues-DE-EN-0308.mp3]	
