c_id	text_x	transcript	text_y
332461	是在昨天Jake打破了这扇窗。	Shi4 zai4 zuo2tian1 Jake da3po4 le5 zhe4 shan4 chuang1.	It was yesterday that Jake broke this window.
332462	今天糟糕透了，所以我准备去喝一杯就直接上床。	Jin1tian1 zao1gao1 tou4 le5, suo3yi3 wo3 zhun3bei4 qu4 he1 yi1 bei1 jiu4 zhi2jie1 shang4 chuang2.	I had an awful experience today, so I'm going to have a beer and go straight to bed.
332467	啊，我认识这个男人！	A1, wo3 ren4shi5 zhe4ge5 nan2ren2!	Oh! I know this man!
332468	待在那儿别动。	Dai1 zai4 na4r5 bie2 dong4.	Remain there and don't move.
332470	沿着这条路直走，到第三个红绿灯的地方右转。	Yan2zhe5 zhe4 tiao2 lu4 zhi2 zou3, dao4 di4-san1 ge4 hong2lv4deng1 de5 di4fang5 you4zhuan3.	Go straight down this street and turn right at the third light.
332471	他正坐在会议室里。	Ta1 zheng4 zuo4 zai4 hui4yi4shi4 li3.	He's sitting in the meeting room.
332472	等她回来的时候问问她。	Deng3 ta1 hui2lai5 de5 shi2hou5 wen4 wen4 ta1.	Ask her when she comes back.
332473	他说得很大声。	Ta1 shuo1 de5 hen3 da4sheng1.	He spoke very loudly.
332474	差不多两周John的病才好了。	Cha4bu5duo1 liang3 zhou1 John de5 bing4 cai2 hao3 le5.	It took John about two weeks to get over his illness.
332477	我们必须设法打破这个僵局。	Wo3men5 bi4xu1 she4fa3 da3po4 zhe4ge5 jiang1ju2.	We must try to break the deadlock.
332478	十年后，我们的城市将改变许多。	Shi2 nian2 hou4, wo3men5 de5 cheng2shi4 jiang1 gai3bian4 xu3duo1.	In ten years our town will change a lot.
332479	你咖啡喝得太多了。	Ni3 ka1fei1 he1 de5 tai4 duo1 le5.	You drink too much coffee.
332480	我有好几打呢。	Wo3 you3 hao3 ji3 da2 ne5.	I have several dozens of them.
332481	我无法想象另一个星球上的生物。	Wo3 wu2fa3 xiang3xiang4 ling4 yi1 ge4 xing1qiu2 shang4 de5 sheng1wu4.	I can't imagine what creatures living on another planet are like.
332485	温度计往往低于零度。	Wen1du4ji4 wang3wang3 di1yu2 ling2du4.	Thermometers often go below zero.
332486	要完成实验，三个月太短了。	Yao4 wan2cheng2 shi2yan4, san1 ge4 yue4 tai4 duan3 le5.	Three months is too short a time to finish the experiment.
332487	“这些车是你的吗？”“是的，是我的。”	"Zhe4xie1 che1 shi4 ni3 de5 ma5? ""Shi4de5, shi4 wo3 de5."""	"Are these your cars? ""Yes, they are."""
332488	我叔叔住在学校附近。	Wo3 shu1shu5 zhu4 zai4 xue2xiao4 fu4jin4.	My uncle lives near the school.
332489	去踢足球吧。	Qu4 ti1 zu2qiu2 ba5.	Let's play soccer.
332490	合同已经到手了，那就出去庆祝一下吧。	He2tong5 yi3jing1 dao4shou3 le5, na4 jiu4 chu1qu4 qing4zhu4 yi1xia4 ba5.	The contract is in the bag, so let's go out and celebrate.
332491	我难以用言语表达我的感情。	Wo3 nan2 yi3 yong4 yan2yu3 biao3da2 wo3 de5 gan3qing2.	I find it hard to express my feelings in words.
332496	猫抓住了老鼠。	Mao1 zhua1zhu4 le5 lao3shu3.	The cat caught the rats.
332498	直到那时，他才意识到他已经上当受骗。	Zhi2dao4 na4shi2, ta1 cai2 yi4shi2 dao4 ta1 yi3jing1 shang4dang4 shou4pian4.	Only then did he realize he had been deceived.
332499	他的医生建议他戒烟。	Ta1 de5 yi1sheng1 jian4yi4 ta1 jie4yan1.	His doctor advised him to quit smoking.
332500	我爸爸很忙。	Wo3 ba4ba5 hen3 mang2.	My father is busy.
332501	他用了一些手段来和Nancy私下交谈。	Ta1 yong4 le5 yi1xie1 shou3duan4 lai2 he2 Nancy si1xia4 jiao1tan2.	He contrived a means of speaking to Nancy privately.
332502	把这些座位留给老人。	Ba3 zhe4xie1 zuo4wei4 liu2gei3 lao3ren2.	Keep these seats for the elderly.
332503	我无法取代她做英语老师。	Wo3 wu2fa3 qu3dai4 ta1 zuo4 Ying1yu3 lao3shi1.	I can't take the place of her as an English teacher.
332505	他们粗心大意，还没意识到危险。	Ta1men5 cu1xin1-da4yi4, hai2 mei2 yi4shi2 dao4 wei1xian3.	They were carelessly unaware of the danger.
332506	她挥着她的手，直到火车消失在视线之外。	Ta1 hui1 zhe5 ta1 de5 shou3, zhi2dao4 huo3che1 xiao1shi1 zai4 shi4xian4 zhi1 wai4.	She waved her hand until the train was out of sight.
332507	当她发现他们还没有学校，她就办了一个。	Dang1 ta1 fa1xian4 ta1men5 hai2 mei2you3 xue2xiao4, ta1 jiu4 ban4 le5 yi1 ge4.	When she saw that they had no schools, she started one.
332508	谢谢你的答复。	Xie4xie5 ni3 de5 da2fu4.	Thanks for your reply.
332509	Jack买不起新自行车。	Jack mai3bu5qi3 xin1 zi4xing2che1.	Jack can't afford to buy a new bicycle.
332513	他寻找一切可能的逃生途径。	Ta1 xun2zhao3 yi1qie4 ke3neng2 de5 tao2sheng1 tu2jing4.	He looked for every possible means of escape.
332518	对严格限制经济的批评蜂拥而来。	Dui4 yan2ge2 xian4zhi4 jing1ji4 de5 pi1ping2 feng1yong1 er2 lai2.	Critics are coming down hard on tightened economic restrictions.
332520	这药创造了奇迹。	Zhe4 yao4 chuang4zao4 le5 qi2ji4.	The medicine worked marvels.
332523	我看见一个长头发的女生。	Wo3 kan4jian4 yi1 ge4 chang2 tou2fa5 de5 nv3sheng1.	I saw a girl with long hair.
332524	外交谈判帮助结束了冲突。	Wai4jiao1 tan2pan4 bang1zhu4 jie2shu4 le5 chong1tu1.	Diplomatic dialogue helped put an end to the conflict.
332525	我发现了我爸爸收藏了30年的报纸。	Wo3 fa1xian4 le5 wo3 ba4ba5 shou1cang2 le5 san1 shi2 nian2 de5 bao4zhi3.	I discovered my father collected 30 years of newpapers.
332526	如何克服日元升高是个大问题。	Ru2he2 ke4fu2 Ri4yuan2 sheng1gao1 shi4 ge5 da4 wen4ti2.	How to overcome the high value of the yen is a big problem.
332528	你想走的时候就走吧。	Ni3 xiang3 zou3 de5 shi2hou5 jiu4 zou3 ba5.	Go when you want.
332529	他们在画展上授予了她一等奖。	Ta1men5 zai4 hua4zhan3 shang4 shou4yu3 le5 ta1 yi1deng3jiang3.	They awarded her first prize at the art exhibition.
332532	你可以骑上我的摩托车去遛一圈。	Ni3 ke3yi3 qi2 shang4 wo3 de5 mo2tuo1che1 qu4 liu4 yi1 quan1.	You can have a ride on my motorcycle.
332533	他给我们讲了一个有趣的故事，我们都笑了起来。	Ta1 gei3 wo3men5 jiang3 le5 yi1 ge4 you3qu4 de5 gu4shi5, wo3men5 dou1 xiao4 le5 qi3lai5.	He told us such a funny story that we all laughed.
332536	让我们来澄清一下这个问题。	Rang4 wo3men5 lai2 cheng2qing1 yi1xia4 zhe4ge5 wen4ti2.	Let's clear up this problem.
332537	别忘了在你的信上贴张邮票。	Bie2 wang4 le5 zai4 ni3 de5 xin4 shang4 tie1 zhang1 you2piao4.	Don't forget to put a stamp on your letter.
332538	我的生意终于走上了正轨。	Wo3 de5 sheng1yi5 zhong1yu2 zou3 shang4 le5 zheng4gui3.	My business has at last gotten on the right track.
332539	如果你需要笔的话，我借你一支。	Ru2guo3 ni3 xu1yao4 bi3 de5hua4, wo3 jie4 ni3 yi1 zhi1.	If you need a pen, I'll lend you one.
332540	我要回房间了，在那儿我可以学习。	Wo3 yao4 hui2 fang2jian1 le5, zai4 na4r5 wo3 ke3yi3 xue2xi2.	I am going to my room, where I can study.
332541	照这样的情况，很抱歉，我不能接受你的盛情邀请。	Zhao4 zhe4yang4 de5 qing2kuang4, hen3 bao4qian4, wo3 bu4 neng2 jie1shou4 ni3 de5 sheng4qing2 yao1qing3.	As such is the case, I am sorry I can't accept your kind invitation.
332542	在一天之内完成它几乎是不可能的。	Zai4 yi1 tian1 zhi1 nei4 wan2cheng2 ta1 ji1hu1 shi4 bu4 ke3neng2 de5.	It's next to impossible to finish it in a day.
332543	接下来该采取什么行动就交给你了。	Jie1xia4lai2 gai1 cai3qu3 shen2me5 xing2dong4 jiu4 jiao1 gei3 ni3 le5.	I leave it in your hands what course of action to take.
332544	老师给我们布置了家庭作业。	Lao3shi1 gei3 wo3men5 bu4zhi4 le5 jia1ting2 zuo4ye4.	The teacher gave us homework.
332545	我们看着这孩子玩耍。	Wo3men5 kan4 zhe5 zhe4 hai2zi5 wan2shua3.	We were watching the child at play.
332546	你开始学习英语了吗？	Ni3 kai1shi3 xue2xi2 Ying1yu3 le5 ma5?	Have you begun studying English?
332547	它们是瓜。	Ta1men5 shi4 gua1.	They are melons.
332548	你走了，我们都会想你的。	Ni3 zou3 le5, wo3men5 dou1 hui4 xiang3 ni3 de5.	We shall all miss you when you go away.
332549	电视的优点在于它给体育爱好者提供了更大的方便。	Dian4shi4 de5 you1dian3 zai4yu2 ta1 gei3 ti3yu4 ai4hao4zhe3 ti2gong1 le5 geng4 da4 de5 fang1bian4.	Television has the advantage of providing sports fans with greater convenience.
332550	我没有拜访他，因为我感冒了。	Wo3 mei2you3 bai4fang3 ta1, yin1wei4 wo3 gan3mao4 le5.	I didn't call on him because I had a cold.
332551	乘公交车费时。	Cheng2 gong1jiao1che1 fei4shi2.	The bus will take time.
332552	由于火车延误，我迟到了。	You2yu2 huo3che1 yan2wu5, wo3 chi2dao4 le5.	I was late as a result of the train delay.
332553	他还没来。他肯定错过公交车了。	Ta1 hai2 mei2 lai2. Ta1 ken3ding4 cuo4guo4 gong1jiao1che1 le5.	He hasn't come yet. He must have missed the bus.
332554	这种款式的帽子现在很流行。	Zhe4zhong3 kuan3shi4 de5 mao4zi5 xian4zai4 hen3 liu2xing2.	This style of hat is now in fashion.
332555	其他的一切都好。	Qi2ta1 de5 yi1qie4 dou1 hao3.	Everything else is fine.
332556	你可以想象在月球上行走吗？	Ni3 ke3yi3 xiang3xiang4 zai4 yue4qiu2 shang4 xing2zou3 ma5?	Can you imagine walking on the moon?
332557	你会溜冰吗？	Ni3 hui4 liu1bing1 ma5?	Can you skate?
332558	他有可能赢得比赛。	Ta1 you3 ke3neng2 ying2de2 bi3sai4.	He is likely to win the game.
332559	这件事至关重要。	Zhe4 jian4 shi4 zhi4guan1zhong4yao4.	This is a matter of the utmost importance.
332560	不要拉我的腿！	Bu4 yao4 la1 wo3 de5 tui3!	Don't pull my leg!
332561	我无法相信自己的眼睛。	Wo3 wu2fa3 xiang1xin4 zi4ji3 de5 yan3jing5.	I can't believe my eyes.
332563	你考虑周到，没有打扰我们。	Ni3 kao3lv4 zhou1dao4, mei2you3 da3rao3 wo3men5.	You were considerate not to disturb us.
332564	这件事他铭记于心。	Zhe4 jian4 shi4 ta1 ming2ji4 yu2 xin1.	The incident was etched in his memory.
332565	这本书对你来说读起来太难了。	Zhe4 ben3 shu1 dui4 ni3 lai2 shuo1 du2 qi3lai5 tai4 nan2 le5.	This book is too difficult for you to read.
332566	我什么都不想喝。	Wo3 shen2me5 dou1 bu4 xiang3 he1.	I don't want anything to drink.
332567	一块岩石从上面落下。	Yi1 kuai4 yan2shi2 cong2 shang4mian4 luo4xia4.	A rock fell from above.
332568	我头痛。	Wo3 tou2tong4.	I have a headache.
332569	布什继里根之后当上了总统。	Bu4shi2 ji4 Li3gen1 zhi1hou4 dang1shang5 le5 zong3tong3.	Bush followed Reagan as president.
332570	他的努力没有成果。	Ta1 de5 nu3li4 mei2you3 cheng2guo3.	Nothing has resulted from his efforts.
332571	今天刮冷风。	Jin1tian1 gua1 leng3 feng1.	The wind is cold today.
332572	你在撒谎。	Ni3 zai4 sa1huang3.	You are lying.
332573	自助者天助。	Zi4zhu4zhe3 tian1 zhu4.	God helps those who help themselves.
332575	和你的车比起来，我的车很小。	He2 ni3 de5 che1 bi3qi3 lai2, wo3 de5 che1 hen3 xiao3.	Compared with yours, my car is small.
332576	他很年轻，更重要的是，他很帅。	Ta1 hen3 nian2qing1, geng4 zhong4yao4 de5 shi4, ta1 hen3 shuai4.	He is young and, what is more, handsome.
332577	和她争辩是没用的。	He2 ta1 zheng1bian4 shi4 mei2yong4 de5.	It is no use arguing with her.
332578	太可惜了！	Tai4 ke3xi1 le5!	What a pity!
332579	听到她成功的消息，他很高兴。	Ting1dao4 ta1 cheng2gong1 de5 xiao1xi5, ta1 hen3 gao1xing4.	He was happy at the news of her success.
332580	男孩们窃窃私语，我知道他们准备做些什么。	Nan2hai2men5 qie4qie4-si1yu3, wo3 zhi1dao4 ta1men5 zhun3bei4 zuo4 xie1 shen2me5.	The boys were whispering; I knew they were up to something.
332581	我要预订一间6月3日的单人房。	Wo3 yao4 yu4ding4 yi1 jian1 liu4 yue4 san1 ri4 de5 dan1ren2fang2.	I'd like to reserve a single room on June 3.
332582	请帮我找一下我的钱包。	Qing3 bang1 wo3 zhao3 yi1xia4 wo3 de5 qian2bao1.	Please find me my wallet.
332583	她给我讲了一个有趣的故事。	Ta1 gei3 wo3 jiang3 le5 yi1 ge4 you3qu4 de5 gu4shi5.	She told me an interesting story.
332584	他登上了前往洛杉矶的飞机。	Ta1 deng1shang4 le5 qian2wang3 Luo4shan1ji1 de5 fei1ji1.	He boarded a plane bound for Los Angeles.
332585	什么时候开始？	Shen2me5 shi2hou5 kai1shi3?	When will it begin?
332586	他儿子小时候就死于癌症了。	Ta1 er2zi5 xiao3shi2hou5 jiu4 si3 yu2 ai2zheng4 le5.	His son died from cancer at a young age.
332587	这本书有精美的插图。	Zhe4 ben3 shu1 you3 jing1mei3 de5 cha1tu2.	This book is beautifully illustrated.
332588	她和她妹妹一样亲切。	Ta1 he2 ta1 mei4mei5 yi1yang4 qin1qie4.	She is no less kind than her sister is.
332589	随着时间的推移，比赛增加了规则以使之更安全。	Sui2zhe5 shi2jian1 de5 tui1yi2, bi3sai4 zeng1jia1 le5 gui1ze2 yi3 shi3 zhi1 geng4 an1quan2.	As time went on, rules were added to the game to make it safer.
332590	他看上去是一个十足的绅士。	Ta1 kan4shang5qu5 shi4 yi1 ge4 shi2zu2 de5 shen1shi4.	He looks every inch a gentleman.
332591	金子比水重得多。	Jin1zi5 bi3 shui3 zhong4 de5 duo1.	Gold is far heavier than water.
332592	我们的任务到目前为止很轻松，但从现在开始将会变得很难。	Wo3men5 de5 ren4wu5 dao4 mu4qian2 wei2 zhi3 hen3 qing1song1, dan4 cong2 xian4zai4 kai1shi3 jiang1hui4 bian4de5 hen3 nan2.	Our task has been easy so far, but it will be difficult from now on.
332593	你自己拿蛋糕吃吧。	Ni3 zi4ji3 na2 dan4gao1 chi1 ba5.	Please help yourself to the cake.
332594	他给我讲述了他的一生。	Ta1 gei3 wo3 jiang3shu4 le5 ta1 de5 yi1sheng1.	He told me the story of his life.
332595	事故耽误了我们半小时。	Shi4gu4 dan1wu5 le5 wo3men5 ban4xiao3shi2.	An accident delayed us for half an hour.
332596	这种秘密总有一天会被揭露的。	Zhe4zhong3 mi4mi4 zong3 you3 yi1 tian1 hui4 bei4 jie1lu4 de5.	Such secrets are always eventually revealed.
332597	我没什么可依靠的了。	Wo3 mei2 shen2me5 ke3 yi1kao4 de5 le5.	I have nothing to fall back on.
332598	我做完我的功课后，就读这本书。	Wo3 zuo4wan2 wo3 de5 gong1ke4 hou4, jiu4 du2 zhe4 ben3 shu1.	I read the book after I had finished my homework.
332599	能不能麻烦你告诉我去邻村怎么走？	Neng2 bu4 neng2 ma2fan5 ni3 gao4su5 wo3 qu4 lin2 cun1 zen3me5 zou3?	Sorry, but can you show me the way to the next village?
332600	她住在罗素广场56号。	Ta1 zhu4 zai4 Luo2su4 guang3chang3 wu3 shi2 liu4 hao4.	She lived at 56 Russell Square.
332601	我们有很多听众。	Wo3men5 you3 hen3 duo1 ting1zhong4.	We had a large audience.
332602	请写信告诉我你们学校的情况。	Qing3 xie3 xin4 gao4su5 wo3 ni3men5 xue2xiao4 de5 qing2kuang4.	Please write to me about conditions at your school.
332603	看见新鲜龙虾，我有了食欲。	Kan4jian4 xin1xian1 long2xia1, wo3 you3le5 shi2yu4.	The sight of fresh lobster gave me an appetite.
332604	最后三周，Jim一直试图带我出去吃饭。	Zui4 hou4 san1 zhou1, Jim yi1zhi2 shi4tu2 dai4 wo3 chu1qu4 chi1fan4.	Jim has been trying to take me out to dinner for the last three weeks.
332605	这狗跑得多快啊！	Zhe4 gou3 pao3 de5 duo1 kuai4 a1!	How fast that dog runs!
332606	你上班迟到了。	Ni3 shang4ban1 chi2dao4 le5.	You were late for work.
332607	护士会告诉你怎么做。	Hu4shi5 hui4 gao4su5 ni3 zen3me5 zuo4.	The nurse will tell you how to do it.
332608	不要相信一个你一点都不了解他过去的人。	Bu4 yao4 xiang1xin4 yi1 ge4 ni3 yi1dian3 dou1 bu4 liao3jie3 ta1 guo4qu4 de5 ren2.	Don't trust a man whose past you know nothing about.
332609	下周我去温哥华看我妹妹。	Xia4zhou1 wo3 qu4 Wen1ge1hua2 kan4 wo3 mei4mei5.	I'm going off to Vancouver next week to see my sister.
332610	罗杰斯先生和史密斯小姐昨天宣布订婚。	Luo2jie2si1 xian1sheng5 he2 Shi3mi4si1 xiao3jie3 zuo2tian1 xuan1bu4 ding4hun1.	The engagement of Mr Rogers and Miss Smith was announced yesterday.
332611	你多久后需要它？	Ni3 duo1jiu3 hou4 xu1yao4 ta1?	How soon do you need it?
332612	诚信是一种重要的美德。	Cheng2xin4 shi4 yi1 zhong3 zhong4yao4 de5 mei3de2.	Honesty is a capital virtue.
332613	鲍勃第一个到达终点线。	Bao4bo2 di4-yi1 ge4 dao4da2 zhong1dian3xian4.	Bob reached the finish line first.
332614	这是我见过最美的景色了。	Zhe4 shi4 wo3 jian4 guo5 zui4 mei3 de5 jing3se4 le5.	This is the most beautiful sight that I have ever seen.
332615	科学和数学我都喜欢。	Ke1xue2 he2 shu4xue2 wo3 dou1 xi3huan5.	I like both science and math.
332616	我们的计划从一开始就出错了。	Wo3men5 de5 ji4hua4 cong2 yi1 kai1shi3 jiu4 chu1cuo4 le5.	Our plan went wrong from the beginning.
332617	她不喜欢我说话的方式。	Ta1 bu4 xi3huan5 wo3 shuo1hua4 de5 fang1shi4.	She doesn't like the way I speak.
332629	你不这么认为吗？	Ni3 bu4 zhe4me5 ren4wei2 ma5?	Don't you think so?
332630	Tom否认偷了钱。	Tom fou3ren4 tou1 le5 qian2.	Tom denied having stolen the money.
332631	我想减肥。	Wo3 xiang3 jian3fei2.	I want to lose weight.
332632	我听到这个消息很吃惊。	Wo3 ting1 dao4 zhe4ge5 xiao1xi5 hen3 chi1jing1.	I was surprised at the news.
332633	她一直和她的兄弟争吵。	Ta1 yi1zhi2 he2 ta1 de5 xiong1di4 zheng1chao3.	She was always quarreling with her brothers.
332634	只有为数不多的几个电视节目值得关注。	Zhi3 you3 wei2 shu4 bu4 duo1 de5 ji3ge5 dian4shi4 jie2mu4 zhi2de5 guan1zhu4.	Only a few TV programs are worth watching.
332635	我不明白为什么你这么批评他。	Wo3 bu4 ming2bai5 wei4shen2me5 ni3 zhe4me5 pi1ping2 ta1.	I can't understand why you are so critical of him.
332636	你想再来杯酒吗？	Ni3 xiang3 zai4 lai2 bei1 jiu3 ma5?	Would you like another glass of wine?
332637	他努力工作。	Ta1 nu3li4 gong1zuo4.	He works hard.
332638	自由是有代价的。	Zi4you2 shi4 you3 dai4jia4 de5.	Freedom is not free.
332639	几分钟后，电话响了。	Ji3 fen1zhong1 hou4, dian4hua4 xiang3 le5.	A few minutes later the telephone rang.
332640	月球是地球唯一的卫星。	Yue4qiu2 shi4 di4qiu2 wei2yi1 de5 wei4xing1.	The moon is the earth's only satellite.
332641	他和他的姐妹们目前都住在东京。	Ta1 he2 ta1 de5 jie3mei4men5 mu4qian2 dou1 zhu4 zai4 Dong1jing1.	His sisters as well as he are now living in Tokio.
332642	孩子们洗了他们的脚。	Hai2zi5men5 xi3 le5 ta1men5 de5 jiao3.	The children washed their feet.
332643	我的计划是参观苏格兰的古堡。	Wo3 de5 ji4hua4 shi4 can1guan1 Su1ge2lan2 de5 gu3bao3.	My plan is visiting old castles in Scotland.
332645	他是哈佛大学的生物学教授。	Ta1 shi4 Ha1fo2 Da4xue2 de5 sheng1wu4xue2 jiao4shou4.	He's a professor of biology at Harvard.
332649	他长大了会成为一名医生。	Ta1 zhang3da4 le5 hui4 cheng2wei2 yi1 ming2 yi1sheng1.	He is going to be a doctor when he grows up.
332651	银行对风险客户收取较高的贷款利息。	Yin2hang2 dui4 feng1xian3 ke4hu4 shou1qu3 jiao4 gao1 de5 dai4kuan3 li4xi1.	Banks charge higher interest on loans to risky customers.
332652	你为什么说要去公园散步？	Ni3 wei4shen2me5 shuo1 yao4 qu4 gong1yuan2 san4bu4?	Why are you saying you want to walk in the park?
332653	观众人数庞大。	Guan1zhong4 ren2shu4 pang2da4.	The audience was very large.
332654	写下你名字的大写字母。	Xie3xia4 ni3 ming2zi5 de5 da4xie3 zi4mu3.	Write your name in capitals.
332655	我不太明白他说什么。	Wo3 bu4 tai4 ming2bai5 ta1 shuo1 shen2me5.	I don't quite understand what he says.
332656	我对外籍员工没有偏见。	Wo3 dui4 wai4ji2 yuan2gong1 mei2you3 pian1jian4.	I don't have a prejudice against foreign workers.
332657	我明早八点来接你。	Wo3 ming2zao3 ba1 dian3 lai2 jie1 ni3.	I'll call for you at eight tomorrow morning.
332658	我相信他会信守诺言。	Wo3 xiang1xin4 ta1 hui4 xin4shou3 nuo4yan2.	I believed that he would keep his promise.
332660	我们看见池里有很多活鱼。	Wo3men5 kan4jian4 chi2 li3 you3 hen3 duo1 huo2yu2.	We saw a lot of live fish in the pond.
332662	您学习吗？	Nin2 xue2xi2 ma5?	Are you studying?
332663	他有很多历史书籍。	Ta1 you3 hen3 duo1 li4shi3 shu1ji2.	He has a lot of books on history.
332666	所有迹象表明她好起来了。	Suo3you3 ji4xiang4 biao3ming2 ta1 hao3qi3lai5 le5.	All the signs are that she is getting better.
332667	即使他们有很好的酒单，我也不想在这里用餐。	Ji2shi3 ta1men5 you3 hen3 hao3 de5 jiu3dan1, wo3 ye3 bu4 xiang3 zai4 zhe4li3 yong4can1.	Even if they have a good wine menu, I will not want to dine here.
332668	建筑物在地震中摇晃。	Jian4zhu4wu4 zai4 di4zhen4 zhong1 yao2huang4.	The buildings shook in the earthquake.
332670	由医生来决定某人何时该死是对的吗？	You2 yi1sheng1 lai2 jue2ding4 mou3ren2 he2shi2 gai1 si3 shi4 dui4 de5 ma5?	Is it right for a doctor to decide when someone should die?
332673	谁来为风险投资提供资金？	Shei2 lai2 wei4 feng1xian3 tou2zi1 ti2gong1 zi1jin1?	Who will provide capital for the venture?
332675	他很快便与小区里新来的男孩交上了朋友。	Ta1 hen3 kuai4 bian4 yu3 xiao3qu1 li3 xin1 lai2 de5 nan2hai2 jiao1 shang4 le5 peng2you5.	He quickly made friends with the new boy on the block.
332676	他的政权必定会崩溃。	Ta1 de5 zheng4quan2 bi4ding4 hui4 beng1kui4.	His regime is bound to collapse.
332677	小偷迅速地窜入了人群。	Xiao3tou1 xun4su4 de5 cuan4 ru4 le5 ren2qun2.	The thief whipped out into the crowd.
