你好！	Nǐ hǎo!	Hello!	[sound:tmp1cctcn.mp3]
你朋友想做什么？	Nǐ péngyǒu xiǎng zuò shénme?	What would your friend like to do?	[sound:G015-06.mp3]
我们是朋友。	Wǒmen shì péngyou.	We're friends.	[sound:tmpigzqqh.mp3]
他们都是我的朋友。	Tāmen dōu shì wǒ de péngyou.	They are all my friends.	[sound:tmpikqle9.mp3]
这是我家。	Zhè shì wǒ jiā.	This is my home.	[sound:tmpqlawmg.mp3]
为什么？	Wèishénme?	Why?	[sound:tmpmwmxhf.mp3]
他们为什么去？	Tāmen wèishénme qù?	Why did they go?	[sound:R035-01.mp3]
她为什么去？	Tā wèishénme qù?	Why did she go?	[sound:G035-01.mp3]
为什么你不来看我们？	wèishénme nǐ bù lái kàn wǒmen? (also ni first)<div>(no mei... mei is like you said you'd come but didn't)</div><div>(kan is long timeframe no visit, jian ok for short timeframe no visit)</div>	Why don't you come visit us?	[sound:335057.mp3]
这是我的书。	zhè shì wǒ de shū .	This is my book.	[sound:334383.mp3]
他喜欢这本书。	Tā xǐhuan zhè běn shū.	He likes this book.	[sound:G002-04.mp3]
我不喜欢这本书。	Wǒ bù xǐhuan zhèběn shū.	I don't like this book.	[sound:R002-04.mp3]
我给了你一本书。	wǒ gěi le nǐ yī běn shū .	I gave you a book.	[sound:335126.mp3]
那本书是我的。	Nà běn shū shì wǒ de.	That book is mine.	[sound:tmpfovlnr.mp3]
让我想一想。	Ràng wǒ xiǎng yī xiǎng.	Let me think about it.	[sound:tmpuivcaf.mp3]
请让一让！	Qǐng ràng yī ràng!	Please let me through	[sound:tmpv3nli9.mp3]
你为什么那么做？	Nǐ wèishénme nàme zuò?	Why did you do that?	[sound:R035-06.mp3]
你喜欢学校吗？	Nǐ xǐhuan xuéxiào ma?	Do you like school?	[sound:G002-06.mp3]
我在学校。	Wǒ zài xuéxiào.	I am at school.	[sound:R005-01.mp3]
学生不喜欢学校。	Xuéshēng bù xǐhuan xuéxiào.	The students don't like school.	[sound:G002-07.mp3]
我要去学校。	Wǒ yào qù xuéxiào.	I'm going to school.	[sound:G004-03.mp3]
学校在哪里？	Xuéxiào zài nǎli?	Where is the school?	[sound:R006-03.mp3]
我是老师。	Wǒ shì lǎoshī.	I'm a teacher.	[sound:tmpazje4y.mp3]
她是我们的老师。	Tā shì wǒmen de lǎoshī.	She is our teacher.	[sound:tmpmhgphr.mp3]
他们都是好老师。	tāmen dōu shì hǎo lǎoshī .	They are all good teachers.	[sound:333284.mp3]
你要去看老师吗？	Nǐ yào qù kàn lǎoshī ma?	Are you going to go see the teacher?	[sound:R023-01.mp3]
他要去看老师。	Tā yào qù kàn lǎoshī.	He is going to see the teacher.	[sound:G023-01.mp3]
我是老师。	Wǒ shì lǎoshī.	I am a teacher.	[sound:G001-01.mp3]
老师要去学校。	Lǎoshī yào qù xuéxiào.	The teacher is going to school.	[sound:R004-02.mp3]
老师去哪里？	Lǎoshī qù nǎli?	Where is the teacher going?	[sound:R006-06.mp3]
听老师说。	Tīng lǎoshī shuō.	Listen to the teacher.	[sound:G038-01.mp3]
他是美国人。	Tā shì Měiguó rén.	He's an American.	[sound:tmpubbhns.mp3]
我是美国人。	Wǒ shì Měiguórén.	I am an American.	[sound:G001-04.mp3]
他是美国人。	tā shì Měiguórén .	He is American. <br /> He is an American.	[sound:332941.mp3]
他很喜欢美国。	Tā hěn xǐhuan Měiguó.	He really likes the United States.	[sound:R002-02.mp3]
美国大吗？	Měiguó dà ma?	Is the United States big?	[sound:R007-06.mp3]
我从美国来。	Wǒ cóng Měiguó lái.	I'm from America.	[sound:tmpl9feqn.mp3]
这里是美国。	Zhèli shì Měiguó.	This is America.	[sound:tmpk06yqu.mp3]
她住在哪里？	Tā zhùzài​ nǎli?	Where does she live?	[sound:G006-07.mp3]
你的朋友住哪里？	Nǐ de péngyou zhù nǎli?	Where does your friend live?	[sound:R006-05.mp3]
我们是同学。	wǒmen shì tóngxué .	We're classmates.	[sound:333784.mp3]
他不喜欢他的同学们。	Tā bù xǐhuan tā de tóngxuémen.	He doesn't like his classmates.	[sound:R002-05.mp3]
他们都是一样的吗？	tāmen dōu shì yīyàng de ma?	Are they all the same?	[sound:334427.mp3]
她的孩子她都一样爱。	tā de háizi tā dōu yīyàng ài .	She loved her children alike.	[sound:334723.mp3]
这里是哪里啊？	Zhèli shì nǎli a?	Where is this place?	[sound:tmpqwynz1.mp3]
请跟我来。	Qǐng gēn wǒ lái.	Please come with me.	[sound:tmp901ayr.mp3]
他跟你说什么，你就做什么。	tā gēn nǐ shuō shénme, nǐ jiù zuò shénme .	Do whatever he tells you.	[sound:334146.mp3]
这本书谁想要就给谁吧。	zhè běn shū shéi xiǎng yào jiù gěi shéi ba .	Give the book to whomever wants it.	[sound:333436.mp3]
她一到，我们就开始。	tā yī dào, wǒmen jiù kāishǐ .	As soon as she comes, we will begin.	[sound:332808.mp3]
走吧。	zǒu ba .	Let's go.	[sound:334277.mp3]
你想走的时候就走吧。	nǐ xiǎng zǒu de shíhou jiù zǒu ba.	Go when you want, ok?	[sound:332528.mp3]
你走了，我们都会想你的。	nǐ zǒu le, wǒmen dōu huì xiǎng nǐ de.	When you go, we'll all miss you! (for sure)	[sound:332548.mp3]
我跟他一起工作。	Wǒ gēn tā yīqǐ gōngzuò.	I work with him.	[sound:G021-01.mp3]
A我也想。<br/>B那跟我们一起去吧！	Wǒ yě xiǎng.<br />Nà gēn wǒmen yī qǐ qù ba!	I also want to.<br />Then go with us!	[sound:R022-DLG.mp3]
Kate,坐吧。	Kate,  zuò ba .	Sit down, Kate.	[sound:332793.mp3]
“是谁？”“是你妈妈。”	shì shéi? shì nǐ māma.	"Who is it? ""It's your mother."""	[sound:334489.mp3]
现在是10点。	Xiànzài shì shí diǎn.	It's ten o'clock now.	[sound:tmpq4ifcx.mp3]
你现在好点了吗？	nǐ xiànzài hǎo diǎn le ma?	Are you a little better now?	[sound:332915.mp3]
现在是几点？	Xiànzài shì jǐ diǎn? (also Xiànzài jǐ diǎn le?)	What time is it now?	[sound:tmpio2tzn.mp3]
现在几点了？	Xiànzài jǐ diǎn le?	What time is it now?	[sound:R036-01.mp3]
现在三点。	Xiànzài sān diǎn.	(Right now) It's three.	[sound:R036-02.mp3]
他有三个孩子。	Tā yǒu sānge háizi.	He has three kids.	[sound:tmpne90c0.mp3]
已经是11点了。	yǐjīng shì 11 diǎn le. (also no shi)	It is already eleven.	[sound:334137.mp3]
他们有两个孩子。	Tāmen yǒu liǎng gè háizi.	They have two children.	[sound:tmpriywz8.mp3]
已经五点了。	Yǐjīng wǔ diǎn le. (also shi)	It's already five o'clock.	[sound:tmpdag6hd.mp3]
现在是五点。	Xiànzài shì wǔ diǎn.	(Right now) It's five.	[sound:G036-02.mp3]
晚上好。	wǎnshang hǎo .	Good evening.	[sound:333158.mp3]
她在跟谁说话？	Tā zài gēn shéi shuōhuà?	Who is she speaking with?	[sound:R034-03.mp3]
他在跟谁说话？	Tā zài gēn shéi shuōhuà?	Who is he speaking with?	[sound:G034-03.mp3]
北京是个大的地方。	Běijīng shì gè dà de dìfang.	Beijing is a big place.	[sound:R026-01.mp3]
他是什么地方人？	Tā shì shénme dìfang rén?	Where is he from?	[sound:G026-02.mp3]
你是中国人吗？	Nǐ shì Zhōngguórén ma?	Are you Chinese?	[sound:R001-03.mp3]
老师是中国人。	Lǎoshī shì Zhōngguórén.	The teacher is Chinese.	[sound:R001-05.mp3]
您是中国人吗？	Nín shì Zhōngguórén ma?	Are you Chinese? (polite)	[sound:G001-06.mp3]
您学习吗？	nín xuéxí ma ?	Are you studying? (polite)	[sound:332662.mp3]
她跟家人在一起。	Tā gēn jiārén zài yīqǐ.	She is with her family.	[sound:G021-07.mp3]
你看见什么了？	Nǐ kànjian shénme le?	What have you seen?	[sound:tmpqbuooz.mp3]
我在家。	Wǒ zài jiā.	I am at home.	[sound:G005-02.mp3]
她在家吗？	Tā zài jiā ma? (also jiali)	Is she at home?	[sound:R005-02.mp3]
我要去看电影。	Wǒ yào qù kàn diànyǐng.	I am going to see a movie.	[sound:R023-02.mp3]
我想去看电影。	Wǒ xiǎng qù kàn diànyǐng.	I want to go see a movie.	[sound:R023-04.mp3]
电影好看吗？	Diànyǐng hǎo kàn ma?	Is it a good movie?	[sound:tmphrxnap.mp3]
我必须走了。	Wǒ bìxū zǒu le.	I must go.	[sound:tmptfzfkz.mp3]
我们必须去学校了。	wǒmen bìxū qù xuéxiào le.	We must go to school!	[sound:334285.mp3]
准备好了吗？	Zhǔnbèi hǎo le ma?	Are you ready?	[sound:tmp9so48t.mp3]
准备好了吗？	Zhǔnbèi hǎo le ma?	Are you ready?	[sound:tmpicvml1.mp3]
我往学校去。	Wǒ wǎng xuéxiào qù. (also xiang4)	I'm headed to school. (as in, where ya headed?)	[sound:tmpikq0ct.mp3]
一人说一句。	Yī rén shuō yī jù.	Each of you say one sentence.	[sound:tmpvjppvn.mp3]
我想对你说几句话。	Wǒ xiǎng duì nǐ shuō jǐ jù huà. (also gen3, gei3) (also jiang3)	I'd like to say a few words to you.	[sound:tmpdiaqlk.mp3]
我的同学没有钱。	Wǒ de tóngxué méi yǒu qián.	My classmate doesn't have any money.	[sound:R011-04.mp3]
这有很多钱。	Zhè yǒu hěn duō qián.	There is a lot of money here.	[sound:tmpnus__e.mp3]
她有很多事要做。	tā yǒu hěn duō shì yào zuò. (also gai zuo de)	She has a lot to do.	[sound:332760.mp3]
最后她没有来。	zuìhòu tā méiyǒu lái .	In the end, she did not come.	[sound:332901.mp3]
A家里有吗?<br/>B没有。	Jiālǐ yǒu ma?<br />Méi yǒu.	What about at home?<br />I don't have one at home.	[sound:R011-DLG.mp3]
有什么事是我该做的吗？	yǒu shénme shì shì wǒ gāi zuò de ma ?	Is there anything I should do?	[sound:334319.mp3]
他告诉我什么时候该说是。	tā gàosu wǒ shénme shíhou gāi shuō shì .	He told me when I should say yes.	[sound:333538.mp3]
你能告诉我这是什么吗？	nǐ néng gàosu wǒ zhè shì shénme ma ?	Can you tell me what this is?	[sound:333977.mp3]
什么时候可以告诉我？	Shénme shíhou kěyǐ gàosu wǒ? (ni ss neng gaosu wo)	When can you tell me?	[sound:tmpnaekb8.mp3]
我觉得你的工作可以。	wǒ juéde nǐ de gōngzuò kěyǐ .	I think your work is all right.	[sound:333016.mp3]
我告诉你一件事。	Wǒ gàosu nǐ yī jiàn shì.	I'll tell you something.	[sound:tmpxfxicg.mp3]
我觉得你说的是真的。	wǒ juéde nǐ shuō de shì zhēn de .	I think what you say is true.	[sound:332442.mp3]
当然可以！	Dāngrán kěyǐ.	Of course it's okay.	[sound:tmp0crhpz.mp3]
我今天花了很多钱。	Wǒ jīntiān huāle hěn duō qián.	I spent a lot of money today.	[sound:tmpuo0aen.mp3]
我回来了。	Wǒ huílai le.	I'm back.	[sound:tmpxzgjpl.mp3]
我只想知道你什么时候回来。	Wǒ zhǐ xiǎng zhīdào nǐ shénme shíhou huílai.	I just want to know what time you will come back.	[sound:R107-05.mp3]
我想讲几句话。	Wǒ xiǎng jiǎng jǐ jù huà. (also shuo, informal)	I want to say a few words.	[sound:tmpan_xo7.mp3]
你的工作难吗？	Nǐde gōngzuò nán ma?	Is your work difficult?	[sound:G020-04.mp3]
我的工作不难。	Wǒde gōngzuò bù nán.	My work is not difficult.	[sound:G020-05.mp3]
他的工作不难。	Tāde gōngzuò bù nán.	His work is not difficult.	[sound:G020-06.mp3]
哪本是你的书？	nǎ běn shì nǐ de shū ? (also na ben shu shi ni de?)	Which is your book?	[sound:334623.mp3]
我了解她。	Wǒ liǎojiě tā.	I understand her.	[sound:tmp1m4l9y.mp3]
他现在出去了。	tā xiànzài chūqù le .	He is out now.	[sound:335030.mp3]
我听说你要找工作。	Wǒ tīngshuō nǐ yào zhǎo gōngzuò.	I've heard that you are looking for work.	[sound:R065-03.mp3]
我正在听你说。	Wǒ zhèngzài tīng nǐ shuō.	I am listening to you.	[sound:G038-02.mp3]
他们在读一本书。	Tāmen zài dú yī běn shū.	They're reading a book.	[sound:tmpotxzhy.mp3]
我发现读这本书很难。	wǒ fāxiàn dú zhè běn shū hěn nán .	I find this book is very difficult to read. <br /> I found it difficult to read the book.	[sound:334828.mp3]
他们在考试。	Tāmen zài kǎoshì.	They're taking an exam.	[sound:tmpkartyl.mp3]
考试开始了。	Kǎoshì kāishǐ le.	The examination has begun.	[sound:tmpkbc6qq.mp3]
现在三点半。	Xiànzài sān diǎn bàn.	(Right now) It's half past three.	[sound:R036-03.mp3]
现在是四点半。	Xiànzài shì sì diǎn bàn.	(Right now) It's half past four.	[sound:G036-01.mp3]
现在是六点。	Xiànzài shì liù diǎn.	(Right now) It's six.	[sound:G036-03.mp3]
你觉得对此该做什么？	nǐ juéde duìcǐ gāi zuò shénme ?	What do you think should be done about it?	[sound:333850.mp3]
你要喝什么？	Nǐ yào hē shénme?	What do you want to drink?	[sound:G017-03.mp3]
你想要什么喝的吗？	nǐ xiǎng yào shénme hē de ma ?	Would you like something to drink?	[sound:334493.mp3]
我什么都不想喝。	wǒ shénme dōu bù xiǎng hē .	There's nothing I want to drink.	[sound:332566.mp3]
我去不了，也不想去。	wǒ qù bù liǎo, yě bù xiǎng qù .	I can't go, nor do I want to.	[sound:334780.mp3]
&quot;你为什么不去？&quot;&quot;因为我不想去。&quot;	&quot; nǐ wèishénme bù qù ?&quot;&quot; yīnwèi wǒ bù xiǎng qù .&quot;	&quot;Why aren't you going?&quot; &quot;Because I don't want to.&quot;	[sound:334446.mp3]
我想喝东西。	Wǒ xiǎng hē dōngxi.	I would like to drink something.	[sound:R033-02.mp3]
她想喝一点东西。	Tā xiǎng hē yī diǎn dōngxi.	She would like to drink a little something.	[sound:R033-01.mp3]
我想吃一点东西。	Wǒ xiǎng chī yī diǎn dōngxi.	I would like to eat a little something.	[sound:G033-02.mp3]
我是个男人。	wǒ shì ge nánrén .	I am a man. <br /> I'm a man.	[sound:333655.mp3]
男人应该工作。	nánrén yīnggāi gōngzuò .	A man should work.	[sound:334672.mp3]
现在他应该已经到了。	xiànzài tā yīnggāi yǐjīng dào le. (also ta xianzai)	He should have already arrived by now.	[sound:333107.mp3]
他这个时候该到了。	tā zhè gè shíhou gāi dào le. (also zhege shihou ta....)	This is the time he should arrive.	[sound:332953.mp3]
这不可能！	zhè bù kěnéng!	It can't be!	[sound:334699.mp3]
你最好现在就走。	nǐ zuì hǎo xiànzài jiù zǒu. (also xianzai zui hao)	You had better go now.	[sound:334627.mp3]
你的大学大吗？	Nǐde dàxué dà ma?	Is your university big?	[sound:G007-07.mp3]
他什么时候上大学？	Tā shénme shíhòu shàng dàxué?	When will he go to university?	[sound:R031-07.mp3]
我们看见孩子上了车。	wǒmen kànjiàn háizi shàng le chē .	We saw the child get on the bus.	[sound:334266.mp3]
“这些车是你的吗？”“是的，是我的。”	"zhè xiē chē shì nǐ de ma ?"" shì de , shì wǒ de ."	"Are these cars yours? ""Yes, they are mine."" <br /> ""Are these your cars?"" ""Yes, they are."""	[sound:332487.mp3]
你的学校在这个城市吗？	nǐ de xuéxiào zài zhè gè chéngshì ma? (also zhe zuo4)	Is your school in this city?	[sound:332900.mp3]
这对他没有影响。	zhè duì tā méiyǒu yǐngxiǎng .	This has no effect on him.	[sound:332838.mp3]
我不再爱你了。	wǒ bù zài ài nǐ le .	I don't love you anymore. <br /> I don't like you anymore.	[sound:335060.mp3]
他是我的儿子。	Tā shì wǒ de érzi.	He's my son.	[sound:tmpkv65zh.mp3]
这是我的儿子。	Zhè shì wǒ de érzi.	This is my son.	[sound:tmpyw7q4u.mp3]
我儿子三岁了。	Wǒ érzi sānsuì le. (also you3)	My son is three years old.	[sound:tmp_2nydh.mp3]
机会来了。	Jīhuì lái le.	An opportunity presented itself.	[sound:tmpanm05k.mp3]
我听说你是历史老师。	Wǒ tīng shuō nǐ shì lìshǐ lǎoshī.	I've heard that you are a history teacher.	[sound:G038-04.mp3]
你为什么想学中国历史？	Nǐ wèishénme xiǎng xué Zhōngguó lìshǐ?	Why would you like to learn about Chinese history?	[sound:G035-03.mp3]
A你要学吗?<br/>B当然要学。	Nǐ yào xué ma?<br />Dāngrán yào xué.	Will you study them?<br />Of course I will study them.	[sound:R017-DLG.mp3]
学生们几点上学？	Xuéshengmen jǐdiǎn shàngxué?	What time do the students start school?	[sound:R029-04.mp3]
你几点上学？	Nǐ jǐdiǎn shàngxué?	What time do you go to school?	[sound:G029-01.mp3]
我的学生学东西快。	Wǒ de xuésheng xué dōngxi kuài.	My students learn things quickly.	[sound:G033-06.mp3]
说英语不难。	Shuō Yīngyǔ bù nán.	Speaking English is not difficult.	[sound:G013-05.mp3]
学英语很难。	Xué Yīngyǔ hěn nán.	English is difficult to learn.	[sound:R013-05.mp3]
你会说英语吗？	Nǐ huì shuō Yīngyǔ ma?	Do you know how to speak English?	[sound:R009-04.mp3]
学生们想学英语。	Xuéshengmen xiǎng xué Yīngyǔ.	The students would like to study English.	[sound:R015-07.mp3]
你是怎么学习英语的？	Nǐ shì zěnme xuéxí Yīngyǔ de?	How do you study English?	[sound:G018-05.mp3]
你开始学习英语了吗？	nǐ kāishǐ xuéxí yīngyǔ le ma?	Have you begun studying English?	[sound:332546.mp3]
哪里可以学习英语？	Nǎli kěyǐ xuéxí Yīngyǔ?	Where can I study English?	[sound:G028-06.mp3]
你为什么不喜欢学习英语？	Nǐ wèishénme bù xǐhuan xuéxí Yīngyǔ?	Why don't you like to study English?	[sound:G035-07.mp3]
我学英语学了4年了。	wǒ xué yīngyǔ xué le 4 nián le. (also no xuele)	I have been studying English for four years.	[sound:333230.mp3]
哪里可以买英语书？	Nǎli kěyǐ mǎi Yīngyǔ shū?	Where can I buy English-language books?	[sound:G028-03.mp3]
写英语不难。	Xiě Yīngyǔ bù nán.	Writing English is not difficult.	[sound:R013-04.mp3]
从现在起我讲英语。	Cóng xiànzài qǐ wǒ jiǎng Yīngyǔ.	From now on I will speak English.	[sound:R036-06.mp3]
我买不起那个。	wǒ mǎibùqǐ nà ge .	I can't afford to buy that.	[sound:334044.mp3]
用英语说。	yòng yīngyǔ shuō .	Say it in English.	[sound:333760.mp3]
他不再是以前的那个他了。	tā bù zài shì yǐqián de nà ge tā le . (also no nage)	He is not what he used to be.	[sound:334034.mp3]
他很难写他的名字。	tā hěn nán xiě tā de míngzi .	He can hardly write his name.	[sound:333184.mp3]
你叫什么名字？	Nǐ jiào shénme míngzì?	What's your name?	[sound:tmpdetcfg.mp3]
他离开家去学校。	Tā líkāi jiā qù xuéxiào. (also le)	He left home and went to school.	[sound:tmp4hwinj.mp3]
他和我一样高。	tā hé wǒ yīyàng gāo .	He and I are the same height.	[sound:333772.mp3]
妈妈和孩子们一起玩。	Māma hé háizimen yīqǐ wánr. (also gen1)	The mama is playing with her children.	[sound:tmpi5lpwu.mp3]
你有一米高了。	Nǐ yǒu yī mǐ gāo le.	You're one meter tall.	[sound:tmpyw1kld.mp3]
他和我同岁。	tā hé wǒ tóng suì .	He and I are the same age.	[sound:335118.mp3]
他每天去学校学习。	tā měi tiān qù xuéxiào xuéxí .	He goes to school to study every day.	[sound:332839.mp3]
他们每天必须工作8小时。	tāmen měi tiān bìxū gōngzuò 8 xiǎoshí .	They must work 8 hours each day.	[sound:334152.mp3]
他们我都认识。	Tāmen wǒ dōu rènshi.	I know all of them.	[sound:tmpzltp9g.mp3]
我认识她两年了。	wǒ rènshi tā liǎng nián le. (also ta, wo renshi ...)	I have known her for two years.	[sound:333348.mp3]
啊，我认识这个男人！	ā , wǒ rènshi zhège nánrén !	Oh, I know this man! <br /> Oh! I know the man.	[sound:332467.mp3]
他认识很多人。	tā rènshi hěn duō rén .	He knows a lot of people. <br /> He has a lot of acquaintances.	[sound:335104.mp3]
你怎么认识他的？	Nǐ zěnme rènshi tā de?	How do you know him?	[sound:R018-05.mp3]
你认识他的老师吗？	Nǐ rènshi tā de lǎoshī ma?	Do you know his teacher?	[sound:R003-01.mp3]
你认识他吗？	Nǐ rènshi tā ma?	Do you know him?	[sound:tmpm71pox.mp3]
我认识他。	Wǒ rènshi tā.	I know him.	[sound:R003-02.mp3]
你认识我的学生吗？	Nǐ rènshi wǒde xuéshēng ma?	Do you know my student?	[sound:G003-07.mp3]
你认识他吗？	Nǐ rènshi tā ma?	Do you know him?	[sound:G003-01.mp3]
A你怎么认识他?<br/>B他是我的同学。	Nǐ zěnme rènshi tā?<br />Tā shì wǒ de tóngxué.	How do you know him?<br />He is my classmate.	[sound:R018-DLG.mp3]
今天我认识了一个新朋友。	Jīntiān wǒ rènshi le yīge xīn péngyou.	Today, I made a new friend.	[sound:tmp7n0lzn.mp3]
他们本来就认识。	Tāmen běnlái jiù rènshi.	They knew each other from before.	[sound:tmpfvliaz.mp3]
这些孩子都很可爱。	Zhèxiē háizi dōu hěn kěài.	These children are all very cute.	[sound:tmp3xrlev.mp3]
你爸爸很高。	nǐ bàba hěn gāo .	Your father is tall.	[sound:334118.mp3]
爸爸出去了，但妈妈在家。	bàba chūqù le, dàn māma zài jiā .	Papa is out, but mama is at home.	[sound:334240.mp3]
爸爸比我高很多。	Bàba bǐ wǒ gāo hěn duō.	My papa is much taller than me.	[sound:tmp_tyost.mp3]
Sam比Tom小两岁。	Sam bǐ Tom xiǎo liǎng suì .	Sam is two years younger than Tom.	[sound:333708.mp3]
他过去认识她，但他们现在不再是朋友了。	tā guòqù rènshi tā, dàn tāmen xiànzài bù zài shì péngyou le.	He used to know her, but now they are no longer friends.	[sound:333704.mp3]
我听了，但什么也没听到。	wǒ tīng le, dàn shénme yě méi tīng dào .	I listened, but I heard nothing.	[sound:333390.mp3]
我们应该做到最好。	wǒmen yīnggāi zuòdào zuì hǎo .	We should do our best.	[sound:334642.mp3]
上海人很多吗？	Shànghǎi rén hěn duō ma?	Does Shanghai have a lot of people?	[sound:G007-02.mp3]
上海人很多。	Shànghǎi rén hěn duō.	Shanghai has a lot of people.	[sound:G007-03.mp3]
我不要去上海。	Wǒ  bù yào qù Shànghǎi.	I'm not going to Shanghai.	[sound:G004-01.mp3]
她为什么今天要回上海？	Tā wèishénme jīntiān yào huí Shànghǎi?	Why will she go back to Shanghai today?	[sound:G035-05.mp3]
我们回家了。	Wǒmen huíjiā le.	We've returned home.	[sound:tmpadhvpx.mp3]
我可以回家吗？	Wǒ kěyǐ huí jiā ma?	Can I go home?	[sound:R032-02.mp3]
她可以回家。	Tā kěyǐ huí jiā.	She can return home.	[sound:R032-03.mp3]
他几点回家？	Tā jǐdiǎn huí jiā?	What time is he going back home?	[sound:R032-04.mp3]
你几点回家？	Nǐ jǐdiǎn huí jiā?	What time are you going home?	[sound:G032-02.mp3]
你回答了什么？	nǐ huídá le shénme ?	What did you answer?	[sound:335067.mp3]
