Kate, 坐吧。	Kate, zuò ba.	Sit down, Kate.	[sound:332793.mp3]
我不再爱你了。	Wǒ bù zài ài nǐ le.	I don't love you anymore.	[sound:335060.mp3]
他认识很多人。	Tā rènshi hěn duō rén.	He knows a lot of people.	[sound:335104.mp3]
“你想再来点咖啡吗？”“不，谢谢。我够了。”	"Nǐ xiang zài lái diǎn kāfēi ma? ""Bù, xièxie. Wǒ goù le."""	"Will you have some more coffee? ""No, thanks. I've had enough."""	[sound:333033.mp3]
我什么都不想喝。	Wǒ shénme doū bù xiang hē.	I don't want anything to drink.	[sound:332566.mp3]
你累了，不是吗？	Nǐ lèi le, bù shì ma?	You are tired, aren't you?	[sound:333191.mp3]
他们都是好老师。	Tāmen doū shì hǎo lǎoshī.	All of them are good teachers.	[sound:333284.mp3]
书桌上有几本书。	Shūzhuō shang yoǔ jǐ běn shū.	There are some books on the desk.	[sound:333397.mp3]
我在下一站下车。	Wǒ zài xià yī zhàn xiàchē.	I am getting off at the next station.	[sound:334085.mp3]
已经是11点了。	Yǐjing shì shí yī diǎn le.	It is already eleven.	[sound:334137.mp3]
我们7点吃了早饭。	Wǒmen qī diǎn chī le zǎofàn.	We ate breakfast at seven.	[sound:333531.mp3]
他们都是一样的吗？	Tāmen doū shì yīyang de ma?	Are they all the same?	[sound:334427.mp3]
这儿有人说日语吗？	Zhèr yoǔ rén shuō Rìyǔ ma?	Does anyone here speak Japanese?	[sound:334985.mp3]
她是什么时候出生的？	Tā shì shénme shíhou chūsheng de?	When was she born?	[sound:332914.mp3]
我去不了，也不想去。	Wǒ qùbuliǎo, yě bù xiang qù.	I can't go, nor do I want to.	[sound:334780.mp3]
我爸爸去世有10年了。	Wǒ bàba qùshì yoǔ shí nián le.	My father has been dead for ten years.	[sound:333287.mp3]
前天，他们离开了那儿。	Qiántiān, tāmen líkāi le nàr.	They left there the day before yesterday.	[sound:333771.mp3]
“一只猫？”老先生问。	Yī zhī māo? lǎo xiānsheng wèn.	A cat? asked the old man.	[sound:334150.mp3]
我在想你今天会不会来。	Wǒ zài xiang nǐ jīntiān huì bù huì lái.	I was wondering if you were going to show up today.	[sound:334925.mp3]
这个学校的学生很友好。	Zhège xuéxiào de xuésheng hěn yoǔhǎo.	The students of this school are kind.	[sound:334983.mp3]
你走了，我们都会想你的。	Nǐ zoǔ le, wǒmen doū huì xiang nǐ de.	We shall all miss you when you go away.	[sound:332548.mp3]
Jiro好像错过了火车。	Jiro hǎoxiang cuòguò le huǒchē.	Jiro seems to have missed the train.	[sound:333896.mp3]
“你感觉怎么样？”他问。	Nǐ gǎnjué zěnmeyang? tā wèn.	How do you feel? he asked.	[sound:334171.mp3]
爸爸出去了，但妈妈在家。	Bàba chūqù le, dàn māma zài jiā.	Father is out, but Mother is at home.	[sound:334240.mp3]
Ann在黑板上写了些什么。	Ann zài hēibǎn shang xiě le xiē shénme.	Ann wrote something on the blackboard.	[sound:333099.mp3]
和你的车比起来，我的车很小。	Hé nǐ de chē bǐqǐ lái, wǒ de chē hěn xiǎo.	Compared with yours, my car is small.	[sound:332575.mp3]
我出去的时候有人打我电话吗？	Wǒ chūqù de shíhou yoǔrén dǎ wǒ diànhuà ma?	Did anyone call me while I was out?	[sound:333978.mp3]
你明天这个时候会是在做什么？	Nǐ mingtiān zhège shíhou huì shì zài zuò shénme?	What'll you be doing at this time tomorrow?	[sound:334624.mp3]
大家都想见到你，你太有名了！	Dàjiā doū xiang jiàn dào nǐ, nǐ tài yoǔming le!	Everyone wants to meet you. You're famous!	[sound:334921.mp3]
我们今晚出去吃饭，你说怎么样？	Wǒmen jīnwǎn chūqù chīfàn, nǐ shuō zěnmeyang?	What do you say to dining out tonight?	[sound:334149.mp3]
很少人这么认为。	Hěn shǎo rén zhème rènwéi.	Few people think so.	[sound:332422.mp3]
我爸爸很忙。	Wǒ bàba hěn mang.	My father is busy.	[sound:332500.mp3]
什么时候开始？	Shénme shíhou kāishǐ?	When will it begin?	[sound:332585.mp3]
你不这么认为吗？	Nǐ bù zhème rènwéi ma?	Don't you think so?	[sound:332629.mp3]
几分钟后，电话响了。	Jǐ fēnzhong hoù, diànhuà xiang le.	A few minutes later the telephone rang.	[sound:332639.mp3]
我不太明白他说什么。	Wǒ bù tài mingbai tā shuō shénme.	I don't quite understand what he says.	[sound:332655.mp3]
您学习吗？	Nín xuéxí ma?	Are you studying?	[sound:332662.mp3]
没有人跑在他前面。	Méiyoǔrén pǎo zài tā qiánmian.	No one ran ahead of him.	[sound:332726.mp3]
有效期到1997年3月31日为止。	Yoǔxiàoqī dào yī jiǔ jiǔ qī nián sān yuè sān shí yī rì wéizhǐ.	It's valid until March thirty-first, nineteen-ninety-seven.	[sound:332767.mp3]
我会教你怎么开车。	Wǒ huì jiāo nǐ zěnme kāi chē.	I'll teach you how to drive a car.	[sound:332775.mp3]
他出卖了我。	Tā chūmài le wǒ.	He sold me down the river.	[sound:332784.mp3]
去年她离开了日本。	Qùnián tā líkāi le Rìběn.	She was out of Japan last year.	[sound:332787.mp3]
我们在这里下车吧。	Wǒmen zài zhèlǐ xiàchē ba.	Let's get off here.	[sound:332792.mp3]
帮我一下。	Bang wǒ yīxià.	Help me.	[sound:332800.mp3]
这是找零。	Zhè shì zhǎoling.	Here's the change.	[sound:332834.mp3]
他每天去学校学习。	Tā měitiān qù xuéxiào xuéxí.	He goes to school to study every day.	[sound:332839.mp3]
你能再给我点茶吗？	Nǐ neng zài gěi wǒ diǎn chá ma?	Would you please give me some more tea?	[sound:332841.mp3]
老实说，我不喜欢他。	Lǎoshí shuō, wǒ bù xǐhuan tā.	To tell the truth, I don't like him.	[sound:332879.mp3]
最后她没有来。	Zuìhoù tā méiyoǔ lái.	After all she did not come.	[sound:332901.mp3]
他是非不分。	Tā shìfēi bù fēn.	He has no sense of right and wrong.	[sound:332927.mp3]
我没朋友帮我。	Wǒ méi pengyou bang wǒ.	I have no friends to help me.	[sound:332934.mp3]
欢迎回家。	Huānying huíjiā.	Welcome home.	[sound:333068.mp3]
树上有些苹果，不是吗？	Shù shang yoǔxiē pingguǒ, bù shì ma?	There are a few apples on the tree, aren't there?	[sound:333097.mp3]
你想要什么？	Nǐ xiangyào shénme?	What do you want?	[sound:333098.mp3]
有些人喜欢运动，有些人不喜欢。	Yoǔxiērén xǐhuan yùndong, yoǔxiērén bù xǐhuan.	Some people like sports, and others don't.	[sound:333128.mp3]
晚上好。	Wǎnshang hǎo.	Good evening.	[sound:333158.mp3]
我同意。	Wǒ tongyì.	I agree.	[sound:333224.mp3]
服务生，我要点菜。	Fúwùsheng, wǒ yào diǎncài.	Waiter, I'd like to order.	[sound:333237.mp3]
我认识她两年了。	Wǒ rènshi tā liang nián le.	I have known her for two years.	[sound:333348.mp3]
我有很多朋友帮我。	Wǒ yoǔ hěn duō pengyou bang wǒ.	I have a lot of friends to help me.	[sound:333352.mp3]
你听得见吗？	Nǐ tingdejiàn ma?	Can you hear me?	[sound:333415.mp3]
京都有很多所大学。	Jingdū yoǔ hěn duō suǒ dàxué.	Kyoto has many universities.	[sound:333508.mp3]
你今天忙吗？	Nǐ jīntiān mang ma?	Are you busy today?	[sound:333561.mp3]
我是个男人。	Wǒ shì ge nánrén.	I am a man.	[sound:333655.mp3]
他过去认识她，但他们现在不再是朋友了。	Tā guòqù rènshi tā, dàn tāmen xiànzài bù zài shì pengyou le.	He once knew her, but they are no longer friends.	[sound:333704.mp3]
她昨天看见一个高大的男人。	Tā zuótiān kànjiàn yī gè gāodà de nánrén.	She saw a tall man yesterday.	[sound:333764.mp3]
那儿除了我，一个人都没有。	Nàr chúle wǒ, yī gè rén doū méiyoǔ.	There was no one there besides me.	[sound:333793.mp3]
火车6点出发。	Huǒchē liù diǎn chūfā.	The train leaves at six.	[sound:333835.mp3]
请每天喂一下狗。	Qing měi tiān wèi yīxià goǔ.	Please feed the dog every day.	[sound:333849.mp3]
他正在学怎么开车。	Tā zhengzài xué zěnme kāichē.	He is learning how to drive a car.	[sound:333901.mp3]
她有一个儿子和两个女儿。	Tā yoǔ yī gè érzi hé liang gè nv'ér.	She has a son and two daughters.	[sound:333921.mp3]
我不同意她一个人去那儿。	Wǒ bù tongyì tā yīgèrén qù nàr.	I object to her going there alone.	[sound:333922.mp3]
他白天睡觉，晚上工作。	Tā báitiān shuìjiào, wǎnshang gongzuò.	He sleeps by day and works by night.	[sound:333994.mp3]
钟不走了。	Zhong bù zoǔ le.	The clock does not run.	[sound:334026.mp3]
他不再是以前的那个他了。	Tā bù zài shì yǐqián de nàge tā le.	He is not what he used to be.	[sound:334034.mp3]
她喜欢为她的家人做饭。	Tā xǐhuan wèi tā de jiārén zuòfàn.	She likes to cook for her family.	[sound:334082.mp3]
你租房子了吗？	Nǐ zū fangzi le ma?	Did you rent an apartment?	[sound:334117.mp3]
谁是你最喜爱的电视明星？	Shéi shì nǐ zuì xǐ'ài de diànshì mingxing?	Who is your favourite TV star?	[sound:334122.mp3]
那是一见钟情。	Nà shì yījiànzhongqing.	It was love at first sight.	[sound:334213.mp3]
我的月经没来。	Wǒ de yuèjing méi lái.	My period hasn't come.	[sound:334264.mp3]
我们看见孩子上了车。	Wǒmen kànjiàn háizi shang le chē.	We saw the child get on the bus.	[sound:334266.mp3]
妈的！真不错！	Māde! Zhēn bù cuò!	Damn! It's not bad!	[sound:334418.mp3]
那没人帮你吗？	Nà méi rén bang nǐ ma?	And nobody helped you?	[sound:334434.mp3]
"你为什么不去？""因为我不想去。"	"Nǐ wèishénme bù qù? ""Yīnwèi wǒ bù xiang qù."""	"Why aren't you going? ""Because I don't want to."""	[sound:334446.mp3]
“以前我们没在哪儿见过吗？”学生问道。	Yǐqián wǒmen méi zài nǎr jiàn guo ma? xuésheng wèndào.	Haven't we met somewhere before? asked the student.	[sound:334459.mp3]
“相信我。”他说。	Xiangxìn wǒ. tā shuō.	Trust me, he said.	[sound:334478.mp3]
你想要什么喝的吗？	Nǐ xiangyào shénme hē de ma?	Would you like something to drink?	[sound:334493.mp3]
他没有房子住。	Tā méiyoǔ fangzi zhù.	He has no house to live in.	[sound:334564.mp3]
请你给我一杯水。	Qing nǐ gěi wǒ yī bēi shuǐ.	Give me a glass of water, please.	[sound:334646.mp3]
你去过京都吗？	Nǐ qù guo Jingdū ma?	Have you ever visited Kyoto?	[sound:334659.mp3]
这不可能！	Zhè bù kěneng!	It can't be!	[sound:334699.mp3]
她的孩子她都一样爱。	Tā de háizi tā doū yīyang ài.	She loved her children alike.	[sound:334723.mp3]
我们有两个女儿。	Wǒmen yoǔ liang gè nv'ér.	We have two daughters.	[sound:334779.mp3]
您想再来点茶吗？	Nín xiang zài lái diǎn chá ma?	Would you like some more tea?	[sound:334887.mp3]
请给我一杯茶。	Qing gěi wǒ yī bēi chá.	A cup of tea, please.	[sound:335003.mp3]
为什么你不来看我们？	Wèishénme nǐ bù lái kàn wǒmen?	Why don't you come visit us?	[sound:335057.mp3]
你回答了什么？	Nǐ huídá le shénme?	What did you answer?	[sound:335067.mp3]
我给了你一本书。	Wǒ gěi le nǐ yī běn shū.	I gave you a book.	[sound:335126.mp3]
那个男人，就是他的孩子很友好的那个.	Nèige nánrén, jiùshì tā de háizi hěn yoǔhǎo de nèige.	That's the man whose kids are so nice.	[sound:333458.mp3]
你有100万美元的话，你会做什么？	Nǐ yoǔ yī bǎi wàn Měiyuán de huà, nǐ huì zuò shénme?	What would you do if you had a million dollars?	[sound:333562.mp3]
好好睡了一觉以后，我感觉好多了。	Hǎohǎo shuì le yī jiào yǐhoù, wǒ gǎnjué hǎo duō le.	After sleeping well, I felt much better.	[sound:334547.mp3]
那不可能是玛丽，她现在在医院。	Nà bù kěneng shì Mǎlì, tā xiànzài zài yīyuàn.	That can't be Mary. She's in the hospital now.	[sound:334613.mp3]
这本书对你来说读起来太难了。	Zhè běn shū duì nǐ lái shuō dú qǐlai tài nán le.	This book is too difficult for you to read.	[sound:332565.mp3]
你更喜欢哪个，这个还是那个？	Nǐ geng xǐhuan něige, zhège háishi nèige?	Which do you like better, this or that?	[sound:332849.mp3]
她下周日回家，也就是10号。	Tā xià Zhoūrì huíjiā, yě jiù shì shí hào.	She will return home next Sunday, that is, the tenth.	[sound:332855.mp3]
我打电话的时候，她刚回到家。	Wǒ dǎ diànhuà de shíhou, tā gang huídào jiā.	She had just come home when I called.	[sound:333836.mp3]
我等我的一个朋友等了一小时。	Wǒdeng wǒ de yī gè pengyou deng le yī xiǎoshí.	I waited for my friend for an hour.	[sound:334031.mp3]
我们很快就到这儿了，不是吗？	Wǒmen hěn kuài jiù dào zhèr le, bù shì ma?	We arrived here fast, didn't we?	[sound:334593.mp3]
那个学生跑得很快，不是吗？	Nèige xuésheng pǎo de hěn kuài, bù shì ma?	That student runs fast, doesn't he?	[sound:332865.mp3]
我们很高兴今晚能见到大家。	Wǒmen hěn gāoxing jīnwǎn neng jiàn dào dàjiā.	We take great pleasure in meeting all of you this evening.	[sound:333108.mp3]
如果我是你，我也会这么做。	Rúguǒ wǒ shì nǐ, wǒ yě huì zhème zuò.	If I were you, I would do the same.	[sound:333157.mp3]
我会在5点左右打电话给你。	Wǒ huì zài wǔ diǎn zuǒyoù dǎ diànhuà gěi nǐ.	I'll call you around five o'clock.	[sound:333185.mp3]
我起来的时候天还是黑的呢。	Wǒ qǐlai de shíhou tiān hái shì hēi de ne.	I got up while it was still dark.	[sound:333411.mp3]
我看见一个穿黑衣服的女人。	Wǒ kànjiàn yī gè chuān hēi yīfu de nvrén.	I saw a woman in black.	[sound:333954.mp3]
他跟你说什么，你就做什么。	Tā gēn nǐ shuō shénme, nǐ jiù zuò shénme.	Do whatever he tells you.	[sound:334146.mp3]
她班上大约有40个学生。	Tā bānshang dàyuē yoǔ sì shí gè xuésheng.	There are about forty students in her class.	[sound:333344.mp3]
我听了，但什么也没听到。	Wǒ ting le, dàn shénme yě méi tingdào.	I listened, but I didn't hear anything.	[sound:333390.mp3]
好的，但我们先吃晚饭吧。	Hǎo de, dàn wǒmen xiān chī wǎnfàn ba.	Sure, but let's eat dinner first.	[sound:333569.mp3]
雨不停，我们不会出去。	Yǔ bù ting, wǒmen bù huì chūqù.	We won't go out if it doesn't stop raining.	[sound:332439.mp3]
这个房间里有个电视机。	Zhège fangjiān lǐ yoǔ ge diànshìjī.	There is a television in this room.	[sound:333126.mp3]
你今天早上喂过狗了吗？	Nǐ jīntiān zǎoshang wèi guo goǔ le ma?	Did you feed the dog this morning?	[sound:333766.mp3]
你能告诉我这是什么吗？	Nǐ neng gàosu wǒ zhè shì shénme ma?	Can you tell me what this is?	[sound:333977.mp3]
8点那班车今天早到了。	Bā diǎn nèi bān chē jīntiān zǎo dào le.	The eight o'clock bus was early today.	[sound:334210.mp3]
他来这里的目的是什么？	Tā lái zhèlǐ de mùdì shì shénme?	For what purpose did he come here?	[sound:334579.mp3]
我爱的那个男孩不爱我。	Wǒ ài de nèige nánhái bù ài wǒ.	The boy I love doesn't love me.	[sound:334596.mp3]
我做得好到不能再好了。	Wǒ zuò de hǎo dào bù neng zài hǎo le.	I can't do any better.	[sound:335046.mp3]
他们是热爱和平的人。	Tāmen shì rè'ài héping de rén.	They are peace-loving people.	[sound:332441.mp3]
我觉得你说的是真的。	Wǒ juéde nǐ shuō de shì zhēnde.	I think what you say is true.	[sound:332442.mp3]
啊，我认识这个男人！	A, wǒ rènshi zhège nánrén!	Oh! I know this man!	[sound:332467.mp3]
她一到，我们就开始。	Tā yī dào, wǒmen jiù kāishǐ.	As soon as she comes, we will begin.	[sound:332808.mp3]
他在气头上，说了所有他想说的话就回家了。	Tā zài qìtoúshang, shuō le suǒyoǔ tā xiang shuō de huà jiù huíjiā le.	In a fit of anger he said everything he wanted to say and went home.	[sound:333095.mp3]
每月发工资的那天，我给我妈5000日元。	Měi yuè fā gongzī de nà tiān, wǒ gěi wǒ mā wǔ qiān Rìyuán.	Every month when I receive my salary, I give 5000 Japanese Yen to my mother.	[sound:333346.mp3]
你明早7点来接我吗？	Nǐ mingzǎo qī diǎn lái jiē wǒ ma?	Will you pick me up at seven tomorrow morning?	[sound:333384.mp3]
我天黑后不喜欢出门。	Wǒ tiānhēi hoù bù xǐhuan chūmén.	I don't like to go out after dark.	[sound:333762.mp3]
我想知道她去哪儿了。	Wǒ xiang zhīdào tā qù nǎr le.	I want to know where she went.	[sound:334136.mp3]
问问他会不会说日语。	Wèn wèn tā huìbùhuì shuō Rìyǔ.	Ask him if he can speak Japanese.	[sound:334656.mp3]
如果我现在有100万日元，我会买辆车。	Rúguǒ wǒ xiànzài yoǔ yī bǎi wàn Rìyuán, wǒ huì mǎi liang chē.	If I had one million yen now, I would buy a car.	[sound:332727.mp3]
她可能出什么事了。	Tā kěneng chū shénme shì le.	Something might have happened to her.	[sound:332431.mp3]
这个班有多少男生？	Zhège bān yoǔ duōshao nánsheng?	How many boys are there in this class?	[sound:332709.mp3]
他很快就会回来的。	Tā hěn kuài jiù huì huílai de.	He will be back soon.	[sound:332892.mp3]
天知道他去哪儿了。	Tiānzhīdào tā qù nǎr le.	Who knows where he has gone.	[sound:332961.mp3]
这孩子能数到20。	Zhè háizi neng shǔ dào ér shí.	That child can count to twenty.	[sound:333028.mp3]
他很难写他的名字。	Tā hěn nán xiě tā de mingzi.	He can scarcely write his name.	[sound:333184.mp3]
我爸爸不喜欢足球。	Wǒ bàba bù xǐhuan zúqiú.	My father doesn't like soccer.	[sound:333380.mp3]
他三岁就到东京了。	Tā sān suì jiù dào Dongjing le.	He came to Tokyo at the age of three.	[sound:333779.mp3]
我说了可能要下雨。	Wǒ shuō le kěneng yào xiàyǔ.	I said it might rain.	[sound:334080.mp3]
我今天感觉好多了。	Wǒ jīntiān gǎnjué hǎo duō le.	I'm feeling much better today.	[sound:334279.mp3]
我能休息一会儿吗？	Wǒ neng xiūxi yīhuìr ma?	Can I rest a bit?	[sound:334654.mp3]
他说他怕天会下雨。	Tā shuō tā pà tiān huì xiàyǔ.	He said that he was afraid it would be rainy.	[sound:334831.mp3]
在我看来很有意思！	Zài wǒ kànlái hěn yoǔ yìsi!	It seems interesting to me.	[sound:335070.mp3]
他看了一眼他的表。	Tā kàn le yīyǎn tā de biǎo.	He glanced at his watch.	[sound:335111.mp3]
你想再来杯酒吗？	Nǐ xiang zài lái bēi jiǔ ma?	Would you like another glass of wine?	[sound:332636.mp3]
她有很多事要做。	Tā yoǔ hěn duō shì yào zuò.	She has plenty of work to do.	[sound:332760.mp3]
我们的孩子喜欢狗，但我更喜欢猫。	Wǒmen de háizi xǐhuan goǔ, dàn wǒ geng xǐhuan māo.	Our children like dogs, but I prefer cats.	[sound:332805.mp3]
这对他没有影响。	Zhè duì tā méiyoǔ yingxiang.	It has had no effect on him.	[sound:332838.mp3]
我下周日不在家。	Wǒ xià Zhoūrì bù zài jiā.	I'll not be at home next Sunday.	[sound:333554.mp3]
我知道他住哪儿。	Wǒ zhīdào tā zhù nǎr.	I know where he lives.	[sound:333770.mp3]
他很快就会回来。	Tā hěn kuài jiù huì huílai.	He will be back in a second.	[sound:333791.mp3]
除了胡萝卜，他没有什么是不吃的。	Chúle húluóbo, tā méiyoǔ shénme shì bù chī de.	Except for carrots, there is nothing he won't eat.	[sound:333939.mp3]
他开始找工作了。	Tā kāishǐ zhǎo gongzuò le.	He began to look for a job.	[sound:334042.mp3]
我想知道谁来了。	Wǒ xiang zhīdào shéi lái le.	I wonder who has come.	[sound:334195.mp3]
你有时间再做吧。	Nǐ yoǔ shíjiān zài zuò ba.	Do it when you have time.	[sound:334400.mp3]
这是我的自行车。	Zhè shì wǒ de zìxingchē.	This is my bicycle.	[sound:334532.mp3]
他在信上说什么？	Tā zài xìn shang shuō shénme?	What does he say in his letter?	[sound:334634.mp3]
你怎么会不知道？	Nǐ zěnme huì bù zhīdào?	How come you don't know this?	[sound:334830.mp3]
他和他的姐妹们目前都住在东京。	Tā hé tā de jiěmèimen mùqián doū zhù zài Dongjing.	His sisters as well as he are now living in Tokio.	[sound:332641.mp3]
那是我每天在火车上看到的男人。	Nèi shì wǒ měitiān zài huǒchē shang kàn dào de nánrén.	That is the man I see every day on the train.	[sound:333869.mp3]
Alice从上周日起就感冒了。	Alice cong shang Zhoūrì qǐ jiù gǎnmào le.	Alice has had a cold since last Sunday.	[sound:333981.mp3]
现在休息一下。	Xiànzài xiūxi yīxià.	Let's take a break now.	[sound:333585.mp3]
我没有一个同学住在这儿附近。	Wǒ méiyoǔ yī gè tongxué zhù zài zhèr fùjìn.	None of my classmates live near here.	[sound:333715.mp3]
你可能听说过。	Nǐ kěneng tingshuō guo.	You may have heard of that.	[sound:333991.mp3]
穿上你的鞋，我们出去吃晚饭。	Chuānshang nǐ de xié, wǒmen chūqù chī wǎnfàn.	Put on your shoes. Let's go out for dinner.	[sound:334041.mp3]
这是我的字典。	Zhè shì wǒ de zìdiǎn.	This is my dictionary.	[sound:334384.mp3]
我不太看报纸。	Wǒ bù tài kàn bàozhǐ.	I don't read newspapers much.	[sound:334407.mp3]
我会去接他的。	Wǒ huì qù jiē tā de.	I'll take him.	[sound:334424.mp3]
今晚会下雪吗？	Jīnwǎn huì xiàxuě ma?	Will it snow tonight?	[sound:334748.mp3]
我坐在他旁边。	Wǒ zuò zài tā pangbiān.	I sat by his side.	[sound:334889.mp3]
我一直想见你。	Wǒ yīzhí xiang jiàn nǐ.	I always wanted to see you.	[sound:334901.mp3]
这所学校是1970年建成的。	Zhè suǒ xuéxiào shì yī jiǔ qī ling nián jiàncheng de.	This school was founded in 1970.	[sound:334981.mp3]
