Krig er fred.	War is peace.
Sommer i Antarktis betyr overflod.	Summer in Antarctica means abundance.
Men dyrelivet i Sørishavet går en usikker fremtid i møte.	But the wildlife in the Southern Ocean is facing an uncertain future.
Havnivået stiger.	The sea level is rising.
Men det finnes også en mer umiddelbar trussel.	But there is also a more immediate threat.
Når det kaldeste stedet på jorda blir varmere, har det også en betydelig innvirkning på globale værsystemer.	When the coldest place on earth gets warmer, it also has a significant impact on global weather systems.
Kjærlig berøring med nebbene styrker båndene dem imellom.	Loving touches with the beaks strengthens the bonds between them.
Men slike ømme stunder varer ikke evig.	But such tender moments do not last forever.
Antarktis er det mest forblåste kontinentet.	Antarctica is the most windswept continent.
De senere år har klimaendringene sørget for at stormene er kraftigere og kommer hyppigere.	In recent years, climate change has ensured that the storms are stronger and come more frequent.
Men den har falt ut av reiret. Det er isnende kaldt.	But it has fallen out of the nest. It's freezing cold.
De brutale værforholdene har krevd sine ofre.	The brutal weather conditions have claimed their victims.
Flere unger har allerede bukket under.	Several young have already succumbed.
De klarer ikke å holde tritt med endringene i miljøet.	They are unable to keep up with the changes in the environment.
Her er det noe som er galt.	There's something wrong here.
Ungen er trygg... enn så lenge.	The young (sg) is safe... for now.
Pingvinen må stole på smidigheten sin.	The penguin must rely on its agility.
Med fire spekkhoggere etter seg var pingvinen sjanseløs.	With four killer whales after him, the penguin was without a chance.
I dag har krillfangsten vært god.	Today, the krill catch has been good.
Ungene vokser, og det ser ut som om hanekamsveisen er på moten igjen.	The young are growing up, and it looks like the mohawk is in vogue again.
Når han har mistet de siste dunfjærene, kan han dra ut og skaffe mat selv.	When he has lost the last down feathers, he can go out and get food himself.
Målinger viser at isbreene i området kalver oftere enn før.	Measurements show that the glaciers in the area calve more often than before.
Langs land er det issørpe overalt.	Along the shore there is brash ice everywhere.
De må komme seg ut til de større isflakene.	They have to get out to the larger ice floes.
Det er lettere sagt enn gjort.	That's easier said than done.
Dette individet er en kjempe.	This individual is a giant.
Pingvinene kan verken gå eller svømme her.	The penguins can neither walk nor swim here.
Dermed er de tilbake der de startet.	Thus, they are back where they started.
Det er trygg grunn i sikte.	There is safe ground in sight.
Herfra er det kort vei ut til åpent vann. Men pingvinen er utmattet.	From here it is a short way out to open water. But the penguin is exhausted.
Det er kanskje ikke verdt det når alt kommer til alt.	Maybe it's not worth it after all.
Vinteren er i ferd med å feste grepet. Det betyr at Antarktis forvandles.	The winter is about to fasten its grip. It means that Antarctica is transforming.
Men under havisen skjuler det seg en stor hemmelighet.	But under the sea ice hides a big secret.
Det er ugjestmildt der oppe, men under isen har forholdene vært stabile i tusenvis av år.	It is inhospitable up there, but under the ice conditions have been stable for thousands of years.
Det har utviklet seg et yrende og mangfoldig dyreliv.	It has developed a bustling and diverse wildlife.
Skapningene her nede blir ekstra store.	The creatures down here are becoming extra big.
Først nylig har vi begynt å studere disse merkelige skapningene.	Only recently have we begun to study these strange creatures.
Det er likevel utfordrende når man nesten ikke kan se.	It is anyway challenging when you nearly can't see.
De befrukter hverandre, og begge vil produsere avkom.	They fertilize each other, and both will produce offspring.
Denne maneten har en klokke på rundt én meter i diameter. Og den er ute etter et måltid.	This jellyfish has a bell of around one meter in diameter. And it's out after a meal.
Det er sjøanemonene som har fått fangst, og de kan sveive inn et monster.	It is the sea anemones that have gotten a catch, and they can crank in a monster.
Det tar fire dager å fortære maneten.	It takes four days to devour the jellyfish.
Vi utviklet nye jaktmetoder og brukte dem så nådeløst at vi nesten utryddet de store hvalene.	We developed new hunting methods and used them so ruthlessly that we almost wiped out the large whales.
Over en og en halv million hvaler ble drept og slaktet i Sørishavet.	Over one and a half million whales were killed and slaughtered in the Southern Ocean.
Spekket ble skåret av de store kroppene og kokt til olje som ble brukt i margarin og såpe.	The lard was cut off the large bodies and boiled into oil which was used in margarine and soap.
Denne hensynsløse nedslaktingen markerte et nytt lavmål i vårt forhold til naturen.	This ruthless slaughter marked a new low point in our relationship with nature.
De var så tillitsfulle og nysgjerrige at de svømte hvalbåtene i møte.	They were so trusting and curious that they swam to the whale boats in meeting.
I løpet av bare noen få tiår ble bestanden så redusert at det bare var 35 kjønnsmodne hunnhvaler igjen.	Over the course of just a few decades, the population was so reduced that there were only 35 sexually mature female whales left.
Man tror at noen av hvalene som lever i dag, også levde mens den mest omfattende nedslaktingen foregikk.	It is believed that some of the whales that live today also lived while the most extensive slaughter took place.
Likevel er disse 60 tonns kjempene både varsomme og nysgjerrige i møtet med mennesker.	Yet these 60-ton giants are both cautious and curious meeting with humans.
Etter at sørkaperen ble fredet har bestanden tatt seg opp igjen.	After the southern right whale was protected, the population has recovered.
Gjenopprettingen av dyrelivet i antarktiske farvann kan har stor betydning langt utenfor dette kontinentets grenser.	The restoration of wildlife in Antarctic waters can have great significance far beyond this continent's borders.
Like utenfor Elephant Island ble filmteamet vitne til det som kan være det største etegildet i verden.	Just outside Elephant Island, the film crew was witness to that which can be the largest bouffe in the world.
Detter er synet av ethundreogfemti hvaler som har samlet seg for å fråtse i krill.	This is the sight of one hundred and fifty whales that have gathered to feast on krill.
Den største ansamlingen av store hvaler som noen gang er blitt filmet.	The largest collection of large whales which has ever been filmed.
Nok en gang yrer det av liv her.	Once again, it is teaming of life here.
Ved å verne Antarktis verner vi ikke bare livet har.	By protecting Antarctica, we are not just protecting life here.
Leopardselen kan slå til når som helst og hvor som helst.	The leopard seal can strike anytime and anywhere.
Det strekker seg helt fra ekvator til nord for polarsikelen.	It extends all the way from the equator to the north of the Arctic (Polar) Circle.	
Men noen få uker om sommeren smelter isen, og kysten blir forvandlet.	But a few weeks in the summer, the ice melts and the coast is transformed.	
Detter er en av verdens største ansamlinger av pattedyr.	This is one of the world's largest collections of mammals.	
De er digre.	They are huge.	
Mange dør i denne kaotiske trengselen.	Many die in this chaotic crowd.	
På en strand førti mil lenger vest er det en annen fare som truer.	On a beach forty miles further west, there is another danger that threatens.	
De er også nødt til å tilbringe mer tid på land fordi isen er borte.	They are also forced to spend more time on land because the ice is gone.	
Den kan påføre en isbjørn dødelige skader.	It can inflict fatal harm to a polar bear.	
Bak disse smale strendene kneiser bratte klipper.	Behind these narrow beaches tower steep cliffs.	
Noen hvalrosser velger å klatre opp her for å unngå trengselen.	Some walruses choose to climb up here to avoid the crowd.	
De som har kommet seg til toppen, befinner seg åtti meter over stranden.	Those who have reached the top find themself eighty meters over the beach.	
De er nemelig ikke alene her oppe.	They are in fact not alone up here.	
Når en hvalross møter fare på land, vil den søke tilflukt i vannet.	When a walrus encounters danger on land, it will seek refuge in the water.	
Bare at isbjørnen er i nærheten, er det nok til å skremme dem.	Just that the polar bear is in the area is enough to scare them.	
Hvalross-skrottene som dundrer ned i steinura, skaper panikk på stranden.	The walrus carcasses that thunder down the rock formation create panic on the beach.	
Dette er et sommerfenomen som inntreffer med noen års mellomrom.	This is a summer phenomenon which occurs every few years.	
Sporene i snøen er bevis på det.	The tracks in the snow are proof of that.	
Varmen presser opp kokende gjørme og skyer av damp.	The heat pushes up boiling mud and clouds of steam.	
Hvis han skal finne mat nå, må han våge farlig nær de glovarme kildene.	If he is to find food now, he must venture dangerously close to the hot springs.	
Dette er det eneste stedet i mils omkrets der bjørnene kan finne gress som ikke er dekket av snø og is.	This is the only place within a radius of a mile where the bears can find grass that is not covered by snow and ice.	
Ett feiltrinn her kan være skjebnesvangert.	One wrong step here can be fatal.	
Der funnet skrotter av bjørner som har falt ut i de varme kildene og blitt skoldet til døde.	There (can be) found caracasses of bears that have fallen into the hot springs and were scalded to death.	
Brunbjørnen er for det meste en einstøing.	The brown bear is for the most part a loner.	
For Asia har mer å by på.	For Asia has more to offer.	
Lederhannen fører flokken til utkanten av territoriet på leting etter noe å spise.	The alpha male leads the herd to the edge/outskirts of the territory in search of something to eat.	
Har hun kreften nok til å nå fram til ham?	Does she have enough strength to reach him?	
Vest for Himalaya, i Iran, ligger noen av verdens varmeste ørkener.	West of the Himalayas, in Iran, lie some of the world's hotest deserts.	
Det er ikke mye, men hver munnfull teller.	It's not much, but every mouthful counts.	
Der oppe er det noe som beveger seg.	Up there something is moving.	
Det årlige monsunregnet forvandlet det sørlige Asia.	The annual monsoon rains transformed southern Asia.	
Det vokste fram tette regnskoger der dyr og planter av alle slags kunne vokse og utvikle seg.	There grew forth dense rainforests where animals and plants of all kinds could grow and develop.	
Termitter har kanskje en smak man må venne seg til.	Termites may have a taste one must acquire.	
Ungen er et par år gammel og allerede ganske eventyrlysten.	The young (sg) is a couple of years old and already quite adventurous.	
Der det er for langt mellom grenene stiller mor opp som en levende bro.	Where it is too far between the branches, mother sets up like a living bridge.	
Her er belønningen: modne mango. Søt og saftig.	Here's the reward: ripe mango. Sweet and juicy.	
I så tett skog er det ikke lett for dyr å se hverandre på avstand.	In such a dense forest, it is not easy for animals to see each other from a distance.	
Lyd bærer godt i jungelen.	Sound carries well in the jungle.	
Hun kunnet fint hvilt hodet i fanget ditt.	She could well rest her head in your lap.	
Hun er også med på å skape og vedlikeholde den.	She also helps create and maintain it.	
Sangen hennes blir ikke besvart.	Her song is not answered.	
Hun er gjerdet inne.	She is fenced in.	
Hun trenger nemlig beskyttelse.	She in fact needs protection.	
Sett fra rommet er omfanget av ødeleggelsene et sørgelig syn.	Seen from space, the extent of the destruction is a sad/tragic sight.	
For de fleste fiskere er fangsten deres eneste inntektskilde.	For most fishermen, the catch is their only source of income.	
Det er én fisk de verdsetter høyere enn alle andre.	There is one fish they value higher than all others.	
Jeg har vært skøyteløper.	I have been a (speed) skater.	
Det er ganske nytt også.	It is quite new also.	
Så jeg er ikke helt sikker på hvordan jeg skal angrepet det.	So I'm not completely certain about how I will attack that.	
Tenker du liksom at ting står på spill nå eller...	Do you think like that things are at stake now or...	
Du kjenner til Strava?	You're familiar with Strava?	
Det sa han bestandig, og jeg visste ikke alltid om det var sant.	He said that constantly and I always didn't knew whether it was true.	
Teoretisk sett kan universet vårt romme såkalte ormehull, som er snarveier til fremmede universer.	Theoretically, our universe can contain so-called wormholes, which are shortcuts to foreign universes.	
De mest eksotiske objektene vi kan håpe på å finne i universet, er de såkalte ormehullene.	The most exotic objects we can hope to find in the universe are the so-called wormholes.	
I teorien er et ormehull et svart hull som skaper en slags tunnel til et annet sted i universet eller til et helt annet univers.	In theory, a wormhole is a black hole that creates a kind of tunnel to another place in the the universe or to a completely different universe.	
Ideen om ormehull er utledet av Einsteins relativitetsteori, men ingen vet om de finnes i virkeligheten.	The idea of wormholes is derived from Einstein's theory of relativity, but no one knowns if they exist in reality.	
Nå har fysikere fra Vanderbilt University i USA funnet en måte å avgjøre det på.	Now physicists from Vanderbilt University in the United States have found a way to determine it.	
Fysikerne har gjennomført beregninger som viser hva som vil skje hvis et svart hull på fire ganger solens masse faller ned i et ormehull som munner ut i et annet univers.	The physicists have carried out calculations which show what will happen if a black hole of four times the Sun's mass falls down into a wormhole that runs/empties out into another universe.	
Forskerne vet at når to svarte hull møtes, utløser det såkalte gravitasjonsbølger, som ruller gjennom rommet og deformerer det.	The researchers know that when two black holes meet, it releases so-called gravitational waves, which roll through space and deform it.	
Bølgene kan måles av de ekstremt følsomme detektorene LIGO og Virgo, som finnes i henholdsvis USA og Italia.	The waves can be measured by the extremely sensitive detectors LIGO and Virgo, which are respectively in the United States and Italy.	
Når et mindre svart hull blir slukt av et større, danner bølgene et mønster med stigende frekvens.	When a smaller black hole is swallowed by a larger (one), the waves form a pattern with increasing/ascending frequency.	
Gravitasjonsbølgene vil dø ut fordi det svarte hullet passerer gjennom ormehullet til det fremmede universet.	The gravitational waves will die out because the black hole passes through the wormhole to the foreign universe.	
Mønsteret er et fellende bevis.	The pattern is (a) decisive/conclusive proof.	
Gjennom de siste hundre årene har relativitetsteorien og kvantemekanikken feiret store triumfer.	Throughout the last hundred years, the theory of relativity and quantum mechanics have celebrated great triumphs.	
Klokken var ni minutter på seks om morgenen da fysikerne ved LIGO-detektorene i USA oppdaget at hele jorda rystet.	The time (clock) was nine minutes to six in the morning when the physicists at the LIGO detectors in the United States discovered that the whole earth was tremoring.	
Rystelsen var akkurat som fysikerne hadde regnet seg fram til for to svarte hull som sluker hverandre.	The tremor was exactly as the physicists had calculated out for two black holes that are swallowing each other.	
Hundre år tidligere, hadde Albert Einsteins generelle relativitetsteori forutsagt at en slik begivenhet ville få såkalte gravitasjonsbølger til å rulle gjennom rommet.	One hundred years earlier, Albert Einstein's general theory of relativity had predicted that such an event would cause so-called gravitational waves to roll through space.	
Hans begeistring hadde imidlertid en annen årsak enn for de fleste fysikere.	His enthusiasm had however a different cause than for most physicists.	
Er tidens gang en objektiv størrelse, eller er det bare den måten vi oppfatter virkeligheten på?	Is time's passage an objective quantity or is it just the way we perceive reality?	
Produksjon av aluminium starter med råvaren bauksitt, en leirelignende jordtype som finnes i et belte rundt ekvator.	Production of aluminum starts with the raw material bauxite, a clay-like type of soil which exists in a belt around the equator.	
Bauksitten utvinnes fra gruver som ligger noen få meter under bakken.	The bauxite is extracted from mines which lay a few meters under the ground.	
Aluminiumoksid utvinnes fra bauksitten gjennom raffinering.	Aluminum oxide is extracted from the bauxite through refining.	
Bauksitten transporteres deretter til anlegg hvor leiren vaskes bort og bauksitten sendes gjennom en knusemaskin.	The bauxite is transported thereafter to plants where the clay is washed away and the bauxite is sent through a crushing machine.	
Aluminaen skilles ut fra bauksitten ved bruk av en varm løsning av lut og kalk.	The alumina is separated out from the bauxite with the use of a warm solution of lye and lime.	
Blandingen varmes opp og filtreres, og den gjenværende aluminaen tørkes til et hvitt pulver.	The mixture warms up and filters and the remaining/residual alumina dries to a white powder.	
Neste stopp er metallverket. Her blir den raffinerte aluminaen omdannet til aluminium.	Next stop is the metalworks. Here the refined alumina is converted to aluminum.	
Resultatet er flytende aluminium, som nå kan tappes fra cellene.	The result is liquid aluminum, which now can drain from the cells.	
Ekstruderingsteknikken har nesten ubegrensede muligheter når det gjelder design og gir utallige anvendelsesmuligheter.	The extrusion technique has almost limitless possibilities when it comes to design and offers countless application possibilities.	
Aluminium er svært smidig.	Aluminum is very flexible.	
Metallet vil smeltes om igjen, og lages til for eksempel felger eller andre bildeler.	The metal will be melted yet again, and made into, for example, (tire) rims or other car parts.	
Resirkulering av aluminiumskrap krever kun fem prosent av den energien som brukes til å lage ny aluminium.	Recycling of aluminum scrap requires only five persent of the energy which is used to make new aluminum.	
Aluminium kan resirkuleres om og om igjen med 100 prosent effektivitet.	Aluminum can be recycled over and over again with 100 percent efficiency.	
Med andre ord er det ingen av aluminiumens naturlige egenskaper som går tapt i resirkuleringsprosessen.	In other words, there are none of the aluminum's natural properties that run out in the recycling process.	
Kontakt en av våre eksperter angående ditt aluminiumprosjekt.	Contact one of our experts concerning your aluminum project.	
Du viser med andre ord at du ønsker å være en del av en smartere og mer bærekraftig fremtid.	You show, in other words, that you wish to be a part of a smarter and more sustainable future.	
Selv om han, som alle fysikere, har stor respekt for relativitetsteorien, har han også et problem med den.	Although he, like all physicists, has great respect for the theory of relativity, he also has a problem with it.	
Ut i sjøen renner ei elv.	Out into the sea flows a river.		
Munningen er bare noen hundre meter herfra.	The mouth (of the river) is only a few hundred meters from here.		
Jeg har et fuglebrett på en stake et stykke ut på tunet.	I have a bird tray on a stake a distance out in the yard.		
Jeg sitter ved kjøkkenbordet og ser dem komme flaksende.	I sit at the kitchen table and watch them come flapping/fluttering.		
De forandre ikke synet mitt på verden som de gjorde før.	They do not change my view of the world as they did before.		
Cricket er en sport jeg aldri har sett bli utøvd og aldri kommer til å se.	Cricket is a sport I have never seen practiced and never going to see.		
Den røde søyla stiger med sola.	The red pillar [in a thermometer] rises with the sun.		
Særlig fordi det foreløpig bare er utedo her.	Especially because there are temporarily just outdoor toilets here.		
Han kommer jo bestandig tilbake.	He constantly come back.		
- Takk for selskapet, sa han høyt gjennom mørket.	Thank you for the company, he said loudly through the darkness.		
Jeg visste at jeg frykta vinteren, og jeg frykta snøen hvis det ble mye av den.	I knew that I feared the winter, and I feared the snow if there was a lot of it.		
Plasten du sorterer riktig blir ofte brent.	The plastic you sort correctly is often burned.		
Det står at avfallet skal sorteres som plast eller papir. Det betyr ikke at det blir resirkulert.	It says that the waste must be sorted as plastic or paper. This does not mean that it will be recycled.		
Selv om det står at matemballasjen kan resirkuleres, er det ikke sikkert den blir det.	Although it says that food packaging can be recycled, it is not certain that it will be.		
For miljømerking av emballasje kan være misvisende, ifølge Anja.	For eco-labeling of packaging can be misleading, according to Anja.		
Forbrukere kan bli lurt til å tro at de gjør et godt miljøvalg.	Consumers can be tricked into thinking that they are making a good environmental choice.		
Produsenten opplyser til NRK at de nå jobber med å få en ny pose på markedet, der plasten er fjernet.	The manufacturer informs NRK that they are now working to get a new bag on the market, where the plastic is removed.		
Begeret er laget av plast med papiretikett.	The cup is made of plastic with a paper label.		
Papiret hindrer en del maskiner i sorteringsanlegg å kjenne igjen plasten.	The paper hinders a share of machines in sorting plants from recognizing the plastic.		
Selskapet er klar over at begrene er vanskelig å sortere ut.	The company is aware that the cups are difficult to sort out.		
De ser nå på muligheten for å erstatte papiret med en etikett av samme materiale som begeret, og håper å få dette på plass i løpet av 2021.	They are now looking at the possibility of replacing the paper with a label of the same material as the cup, and hope to get this in place during 2021.		
Mange produkter blir miljømerket. For eksempel med det europeiske symbolet «Grønt Punkt», som består av to piler inn i hverandre.	"Many products are eco-labeled. For example, with the European symbol ""Green Point"", which consists of two arrows in each other."		
Vi håper folk ser på dette merket som en påminnelse om at de skal kildesortere.	We hope people see this tag as a reminder that they must waste-sort.		
Når emballasje endres, er det viktig å sikre at maten bevares god og holdbar.	When packaging changes, it is important to ensure that the food is kept good and durable.		
Det ble tatt av markedet etter en test i fjor høst, fordi noen beger ble myke og fuktige.	It was taken off the market after a test in fall last year, because some cups became soft and moist.		
Vi er ikke helt i mål ennå.	We are not quite there yet.		
Det skal frem til et materialgjenvinningsanlegg.	It is going to a material recycling plant.		
Merket med to piler som går inn i hverandre er en kvittering, som viser at vareprodusent er medlem av et godkjent returselskap.	The mark with two arrows that go into each other is a receipt, which shows that the goods manufacturer is a member of an approved return company.		
Nå er alle bydelene i Oslo kategorisert som «røde» på smitterangeringen.	"Now all the districts in Oslo are categorized as ""red"" on the infection ranking."		
I samtlige bydeler er det registrert over 20 smittede per 100.000 innbyggere siste to uker.	In all districts, there are over 20 infections registered per 100,000 inhabitants past two weeks.		
Helsebyråden i Oslo er bekymret over utviklingen.	The Health Council in Oslo is concerned about the development.		
Da hadde vi veldig lave smittetall i Oslo. Vi var nede på tre nysmittede om dagen.	Then we had very low infection numbers in Oslo. We were down to three newly infected a day.		
Nå er vi oppe på 50 om dagen og det er et veldig mye høyere tall.	Now we are up to 50 a day and that is a very much higher number.		
Foreløpig har ikke Oslo kommune bestemt om den skal sette inn flere tiltak.	So far, Oslo Municipality has not decided whether it must set in more measures.		
Mye av smitten foregår i private sammenhenger og sosiale lag som bryllup, konfirmasjoner og fødselsdagsselskaper.	A lot of the infection takes place in private contexts and social groups such as weddings, confirmations and birthday parties.		
Det er klart at hvis de 300.000 som skulle ha tatt buss, kaster seg på trikken i rushtida, så vil det øke smittefaren vesentlig.	It is clear that if the 300,000 who should have taken the bus throw themselves on the streetcar during rush hour, so will it increase the danger of infection significantly.		
Alle kaller seg bærekraftige, men vårt personlige forbruk snakker vi mindre om.	Everyone calls themselves sustainable, but we talk less about our personal consumption.		
Vekst er et hellig mantra.	Growth is a sacred mantra.		
I 25 år har nesten alle nordmenn fått økt sin reallønn. Vi er nå nesten best i Europa i forbruk. Kun slått av Luxembourg.	For 25 years, nearly all Norwegians have gotten increased wages. We are now nearly the best in Europe in consumption. Only beaten by Luxembourg.		
Vi har blitt et reisende folk: Globetrottere som setter oss på flyet til New York, London og Australia.	We have become a traveling people: grobetrotters who board the plane to New York, London, and Australia.		
Helt ny, men allerede full av nupper.	Completely new, but already full of sweater pills.		
Sjansen for nupper er større hvis plagget er helt eller delvis syntetisk.	The chance of sweater pills is greater if the garment is completely or partially synthetic.		
Vi nordmenn kan fritt forbruke importerte varer. Vi etterspør og Asia leverer.	We Norwegians can freely consume imported goods. We damand and Asia delivers.		
Samtidig skal de globale klimautslippene kuttes med nesten 8 prosent årlig.	At the same time, the global emissions must be cut by nearly 8 percent annually.		
I dag finnes det ingen klimapolitikk som adresserer personlig forbruk.	Today, there exists no climate policy that addresses personal consumption.		
